b,F,Seff,n_use,df2,nL,nR,beta_pre,beta_post,delta_slope,SSR0,SSR1
3.1702533964999997,59.44402672873573,4,16,10,12,20,0.12545158549929747,0.03204601881003559,-0.09340556668926188,0.023914569126000016,0.003443718668477535
3.4461400964999997,45.66540619709655,5,20,13,13,19,0.11404882184705895,0.02103834788297862,-0.09301047396408033,0.03323863508920627,0.0073655376169724195
3.751016757,55.1776552713005,6,24,16,14,18,0.10127193649193837,0.018429627202385238,-0.08284230928955313,0.04088387573384865,0.009190271992639446
3.8184184695,70.27323384236225,7,28,19,15,17,0.09710033818949702,0.018521333668181678,-0.07857900452131535,0.048272984194997336,0.010273927136150442
3.895458052,55.99971180138893,6,24,16,16,16,0.09126882213767044,0.01790356574291449,-0.07336525639475595,0.03530784026560643,0.007846218132206538
3.9904860225,51.911470924701526,5,20,13,17,15,0.08323243119152093,0.018326561458624588,-0.06490586973289635,0.021828859643769686,0.00437172615758762
4.3118342765,52.85293350598405,6,24,16,18,14,0.07497109966205691,0.013969562156156738,-0.06100153750590017,0.027194766907185166,0.006319502283474188
4.632794037,40.54143702202471,5,20,13,19,13,0.06332175155091482,0.012357789156675493,-0.05096396239423933,0.016337788483655823,0.003966857486476442
4.6743101110000005,30.27822360778054,4,16,10,20,12,0.06154320909628558,0.012599013320962658,-0.04894419577532292,0.011876357347544182,0.0029485802212116494
