min_side_points,min_seff,trim_frac_overall,min_total_side,b_hat,supF,p_value,Seff,delta_slope,n_candidates,top1,top2,gap,gap_over_top1,n_within_5pct,error
1,4,0.0,0,3.4461400964999997,103.01655678616673,0.011673151750972763,8.0,-0.08973820469925484,25,103.01655678616673,102.13157347030673,0.8849833158599978,0.008590690113017203,3.0,
1,4,0.0,4,3.4461400964999997,103.01655678616673,0.011673151750972763,8.0,-0.08973820469925484,25,103.01655678616673,102.13157347030673,0.8849833158599978,0.008590690113017203,3.0,
1,4,0.0,6,3.4461400964999997,103.01655678616673,0.011673151750972763,8.0,-0.08973820469925484,21,103.01655678616673,102.13157347030673,0.8849833158599978,0.008590690113017203,3.0,
1,4,0.1,0,3.4461400964999997,103.01655678616673,0.011673151750972763,8.0,-0.08973820469925484,25,103.01655678616673,102.13157347030673,0.8849833158599978,0.008590690113017203,3.0,
1,4,0.1,4,3.4461400964999997,103.01655678616673,0.011673151750972763,8.0,-0.08973820469925484,25,103.01655678616673,102.13157347030673,0.8849833158599978,0.008590690113017203,3.0,
1,4,0.1,6,3.4461400964999997,103.01655678616673,0.011673151750972763,8.0,-0.08973820469925484,21,103.01655678616673,102.13157347030673,0.8849833158599978,0.008590690113017203,3.0,
1,4,0.2,0,3.4461400964999997,103.01655678616673,0.011673151750972763,8.0,-0.08973820469925484,19,103.01655678616673,102.13157347030673,0.8849833158599978,0.008590690113017203,3.0,
1,4,0.2,4,3.4461400964999997,103.01655678616673,0.011673151750972763,8.0,-0.08973820469925484,19,103.01655678616673,102.13157347030673,0.8849833158599978,0.008590690113017203,3.0,
1,4,0.2,6,3.4461400964999997,103.01655678616673,0.011673151750972763,8.0,-0.08973820469925484,19,103.01655678616673,102.13157347030673,0.8849833158599978,0.008590690113017203,3.0,
1,6,0.0,0,3.4461400964999997,103.01655678616673,0.011673151750972763,8.0,-0.08973820469925484,21,103.01655678616673,102.13157347030673,0.8849833158599978,0.008590690113017203,3.0,
