dropped,b_hat,supF,p_value,Seff,delta_slope
Hyperemic|LAD|0.45|1.2,3.8184184695,85.2583335965798,0.03875968992248062,6,-0.0805485062954704
Hyperemic|LAD|0.45|2.5,3.8184184695,58.47320321737017,0.023255813953488372,6,-0.07945342917396803
Hyperemic|LAD|0.59|1.2,3.8184184695,62.53129510202681,0.03875968992248062,6,-0.07386264688672584
Hyperemic|LAD|0.59|2.5,3.8954338745,56.000342064515955,0.023255813953488372,6,-0.07336544074988317
Hyperemic|LCX|0.451|2.5,3.1702533964999997,59.44402672873573,0.13178294573643412,4,-0.09340556668926188
Hyperemic|LCX|0.458|1.2,3.8184184695,70.27323384236225,0.023255813953488372,7,-0.07857900452131535
Hyperemic|LCX|0.596|2.5,3.1702533964999997,59.44402672873573,0.13178294573643412,4,-0.09340556668926188
Hyperemic|LCX|0.609|1.2,4.3294583485,57.925083952291736,0.03875968992248062,5,-0.05424227213974448
