Condition,Geometry Number,Location,Stenosis Percentage,Length,Width,R_scale,R_micro,R_total,P_d/P_a,CFR,CFR/FFR,discord,HMR,BMR/HMR,HSR,P_Loss_Coeff,Average Flow,Max Flow,v_distal,Q_distal,WSS_LMB,WSS_Bif,WSS_LE,WSS_TE,WSS_min,WSS_LE_min,WSS_TE_min,WSS_Area_Bifur,WSS_LE_Area,WSS_TE_Area,WSS_Area_Bifur_min,WSS_LE_Area_min,WSS_TE_Area_min,source
Hyperemic,219,,,,,,,,0.715517241,2.875,4.018072291,1,1.804347826,3.983433735,,1.593650286,,,,,,,,,,,,,,,,,,garcia
Hyperemic,220,,,,,,,,0.716814159,2.3125,3.226080248,1,2.189189189,3.083333333,,1.76939854,,,,,,,,,,,,,,,,,,garcia
Hyperemic,221,,,,,,,,0.72,1.05,1.458333333,3,3.428571429,1.166666667,,2.203371451,,,,,,,,,,,,,,,,,,garcia
Hyperemic,222,,,,,,,,0.72,1.821428571,2.529761904,3,1.411764706,2.150297619,,1.432669689,,,,,,,,,,,,,,,,,,garcia
Hyperemic,223,,,,,,,,0.723809524,2.62962963,3.633040935,1,1.070422535,3.460038986,,1.16053331,,,,,,,,,,,,,,,,,,garcia
Hyperemic,224,,,,,,,,0.727272727,2.476190476,3.404761906,1,0.769230769,3.311904762,,0.843706586,,,,,,,,,,,,,,,,,,garcia
Hyperemic,225,,,,,,,,0.727272727,3.296703297,4.532967035,1,2.4,4.441391941,,1.877773264,,,,,,,,,,,,,,,,,,garcia
Hyperemic,226,,,,,,,,0.73,1.25,1.712328767,3,7.3,1.489726027,,2.832015774,,,,,,,,,,,,,,,,,,garcia
Hyperemic,227,,,,,,,,0.73,1.8,2.465753425,3,2.703703704,2.194520548,,1.969288245,,,,,,,,,,,,,,,,,,garcia
Hyperemic,228,,,,,,,,0.733333333,3.125,4.261363638,1,1.32,4.308712121,,1.382923243,,,,,,,,,,,,,,,,,,garcia
Hyperemic,229,,,,,,,,0.736842105,3.416666667,4.636904764,1,0.853658537,4.783333333,,0.970964313,,,,,,,,,,,,,,,,,,garcia
Hyperemic,230,,,,,,,,0.738095238,3.627906977,4.915228808,1,1.987179487,4.681170293,,1.754765502,,,,,,,,,,,,,,,,,,garcia
Hyperemic,231,,,,,,,,0.738636364,2.666666667,3.610256409,1,2.708333333,3.569230769,,2.001957362,,,,,,,,,,,,,,,,,,garcia
Hyperemic,232,,,,,,,,0.739583333,1.428571429,1.931589539,3,2.366666667,1.830985915,,1.844349509,,,,,,,,,,,,,,,,,,garcia
Hyperemic,233,,,,,,,,0.74,1.909090909,2.57985258,3,1.761904762,2.167076167,,1.569126777,,,,,,,,,,,,,,,,,,garcia
Hyperemic,234,,,,,,,,0.741176471,2.916666667,3.935185183,1,1.8,3.75,,1.654938602,,,,,,,,,,,,,,,,,,garcia
Hyperemic,235,,,,,,,,0.742268041,1.827586207,2.462164752,3,1.358490566,2.512931034,,1.350040279,,,,,,,,,,,,,,,,,,garcia
Hyperemic,236,,,,,,,,0.743902439,3.545454545,4.766020864,1,1.564102564,4.82414307,,1.54074209,,,,,,,,,,,,,,,,,,garcia
Hyperemic,237,,,,,,,,0.744186047,2.142857143,2.879464284,1,2.133333333,2.678571429,,1.788832181,,,,,,,,,,,,,,,,,,garcia
Hyperemic,238,,,,,,,,0.747252747,1.583333333,2.118872549,3,3.578947368,1.979166667,,2.204872644,,,,,,,,,,,,,,,,,,garcia
Hyperemic,239,,,,,,,,0.75,1.875,2.5,3,2.4,1.796875,,1.826620742,,,,,,,,,,,,,,,,,,garcia
