Condition,Geometry Number,Location,Stenosis Percentage,Length,Width,R_scale,R_micro,R_total,P_d/P_a,CFR,CFR/FFR,discord,HMR,BMR/HMR,HSR,P_Loss_Coeff,Average Flow,Max Flow,v_distal,Q_distal,WSS_LMB,WSS_Bif,WSS_LE,WSS_TE,WSS_min,WSS_LE_min,WSS_TE_min,WSS_Area_Bifur,WSS_LE_Area,WSS_TE_Area,WSS_Area_Bifur_min,WSS_LE_Area_min,WSS_TE_Area_min,source
Hyperemic,35,LAD,0.59,2.5,0.78,0.62,0,0.62,0.752476279,1.378350408,1.831752637,3,3.818442647,1.704063606,1.256059707,2.219906958,2.980505609,4.876324,19.0395906,1.808761107,254.535953,1127.190525,284.5744351,770.9197411,0.812941709,0.812941709,1.429868362,0.401370868,0.082567827,0.137130202,0,0,0.004732324,mine
Hyperemic,36,LAD,0.59,2.5,0.78,0.81,0,0.81,0.814386017,1.101757123,1.352868419,2,5.181668623,1.255747833,1.181000327,2.290420464,2.424657839,3.777631,15.21891998,1.445797398,187.553552,874.125894,215.2949628,566.7719913,0.440666205,4.471410252,1.459615658,0.254525137,0.059022813,0.128803005,0.000316264,0,0.006148238,mine
Hyperemic,38,LAD,1.22E-15,0.1,0.251,0.24,0,0.24,0.964578422,3.774861785,3.913483546,0,1.800845216,4.145135925,0.066131252,0.51196131,7.461479057,12.545064,51.16814974,4.860974225,1010.994858,1929.592179,936.3744589,936.3744589,,25.64289425,4.36929602,0.903215595,0.253257595,0.246738978,0,0,0,mine
Hyperemic,39,LAD,1.22E-15,0.1,0.251,0.43,0,0.43,0.980134583,2.32204511,2.369108438,0,3.003824285,2.485081513,0.060881662,0.68707147,4.726278621,8.421709,31.47525887,2.990149593,559.284393,1107.928699,545.2060713,545.2060713,,12.38220519,2.367019543,0.631962901,0.127953558,0.110807818,0,0,0,mine
Hyperemic,40,LAD,1.22E-15,0.1,0.251,0.62,0,0.62,0.986495549,1.65664792,1.679326299,2,4.247876024,1.757289563,0.058150523,0.813779024,3.429377322,5.986192,22.4558179,2.133302701,358.635663,732.675363,371.0658622,371.0658622,,7.043540166,1.795913076,0.292548941,0.088418921,0.082535565,5.21E-05,0,0.000128094,mine
Hyperemic,41,LAD,1.22E-15,0.1,0.251,0.81,0,0.81,0.989914157,1.280254585,1.293298592,2,5.521875104,1.351850243,0.056260199,0.911360546,2.68484431,4.464591,17.35381638,1.648612556,249.423284,514.053816,266.3086568,266.3086568,,6.753689152,0.8374723,0.110427048,0.071852514,0.053683667,0.000396554,0,0.000703788,mine
Hyperemic,42,LAD,0.45,1.2,0.63,0.43,0,0.43,0.887854602,2.240557686,2.523563747,0,3.208640971,2.486147119,0.405285188,1.581774305,4.533894816,7.645781,26.70181032,2.53667198,572.029588,1276.523595,617.0461793,486.5854532,3.39641942,0.736884346,1.634631055,0.67103077,0.232438851,0.18818282,5.77E-05,0.000130823,0.000591522,mine
Hyperemic,43,LAD,0.45,1.2,0.63,0.62,0,0.62,0.930585431,1.607385885,1.727284601,2,4.698202113,1.697916206,0.35045001,1.66287563,3.345518253,5.622249,19.15599553,1.819819576,376.75685,879.953135,428.0651503,318.2708078,1.553923875,3.474728578,0.822176006,0.47840847,0.1802907,0.124979074,0.000123093,8.16E-05,0.001021279,mine
Hyperemic,44,LAD,0.45,1.2,0.63,0.81,0,0.81,0.952184572,1.241780297,1.304138224,2,6.228996279,1.280648302,0.312798728,1.725589917,2.641871828,4.307206,14.79889679,1.405895195,265.821498,644.577906,315.5809589,219.2082376,1.170979142,4.934876195,1.668200689,0.298717741,0.128476123,0.084384567,0.000661786,0,0.002517894,mine
Hyperemic,45,LAD,0.59,1.2,0.63,0.43,0,0.43,0.75687112,2.079651818,2.747696092,1,2.675958768,2.626040536,0.859595302,1.898536155,4.163569989,6.954037,27.30939998,2.594392998,438.439425,1938.923303,643.1548609,800.2244054,14.09999587,2.93199149,3.324824977,0.641197089,0.236326601,0.191061902,0,0,0,mine
Hyperemic,46,LAD,0.59,1.2,0.63,0.62,0,0.62,0.83802784,1.553905756,1.854241211,2,3.972473457,1.768967439,0.767790849,1.976051007,3.151380379,5.240391,20.40545128,1.938517871,301.783643,1446.800495,471.7756519,552.5574214,6.921315176,0.326305779,2.671673424,0.439854427,0.189431158,0.148597372,0.001170181,0.0023423,0.00029183,mine
Hyperemic,47,LAD,0.59,1.2,0.63,0.81,0,0.81,0.884487256,1.233013206,1.394042931,2,5.288602874,1.328739624,0.690683813,2.030544301,2.527047931,4.044263,16.19158099,1.538200194,218.421619,1108.984903,351.8535791,393.3311416,5.882394093,0.494837712,3.780897329,0.271407946,0.133467847,0.098850178,0.00266598,0.004257938,0.00029183,mine
Hyperemic,117,LCX,4.58E-01,1.2,0.735,0.24,0,0.24,0.763350984,3.522942418,4.615101689,1,2.100031041,4.703320622,0.651037712,1.690216218,7.059453931,11.686998,33.415211,1.871251816,991.005678,2500.005758,1213.539762,768.5393228,9.496603665,2.369730802,0.487535984,,0.209933163,0.196872127,0,0,0.022345151,mine
Hyperemic,118,LCX,4.51E-01,2.5,0.73,0.24,0,0.24,0.70943953,3.231956445,4.555647532,1,2.113886121,4.570457873,0.865770397,1.847557112,6.945683644,11.453645,30.931423,1.732159688,874.188541,2045.934931,1038.031569,630.0058383,0.430328828,26.41959737,1.165907588,0.936003412,0.188852738,0.119929399,0,0,0.001365352,mine
Hyperemic,119,LCX,6.09E-01,1.2,0.875,0.24,0,0.24,0.514049467,3.129229395,6.087409088,1,1.39067935,5.774966662,1.314662139,1.986561397,6.350474195,10.372103,34.104135,1.90983156,1779.670692,3136.133889,1186.215508,1542.436489,8.802484091,12.39604111,0.486390846,0.947200336,0.226261151,0.15088814,0,0,0.070504498,mine
Hyperemic,120,LCX,5.96E-01,2.5,0.75,0.24,0,0.24,0.678970878,3.186825328,4.693611213,1,2.026925405,4.675172968,0.958365231,1.892237897,6.868247402,11.318626,30.8921,1.7299576,914.854044,1912.970233,964.3158396,726.8516892,0.327363493,25.24045689,1.656416401,0.937500268,0.193199084,0.116557294,0,0,0.001111657,mine
Hyperemic,121,LCX,4.58E-01,1.2,0.735,0.24,0.19,0.43,0.877188221,2.174830462,2.479320183,0,4.008498588,2.464044601,0.561214605,1.835219174,4.581854529,7.788293,20.62833,1.15518648,565.700703,1386.37875,665.4031701,491.5476792,1.638946854,6.870066185,1.831640852,0.62455298,0.077677917,0.154282493,0,0,0.020510455,mine
Hyperemic,122,LCX,4.51E-01,2.5,0.73,0.24,0.19,0.43,0.838074971,2.163918585,2.582010751,0,3.818394292,2.530233058,0.737754531,1.952290847,4.528423253,7.695016,20.709772,1.159747232,449.141663,1084.407466,548.8666493,353.5329824,0.253198707,5.417239644,1.328248834,0.617181042,0.065923842,0.10351866,0,0,0.005732753,mine
Hyperemic,123,LCX,6.09E-01,1.2,0.875,0.24,0.19,0.43,0.681051022,2.008297325,2.948820661,1,2.930061857,2.74094107,1.37220297,2.197774987,4.224977908,6.96183,21.887575,1.2257042,1206.788435,2057.015504,621.2946191,1115.386859,6.907089399,7.840806655,0.042602657,0.585460054,0.070540377,0.136514805,0,0,0.112857731,mine
Hyperemic,124,LCX,5.96E-01,2.5,0.75,0.24,0.19,0.43,0.816669847,2.150404835,2.633138523,0,3.683639222,2.572517636,0.826921851,1.999009348,4.482294414,7.438874,20.84536,1.16734016,468.670037,1050.020265,512.9793441,408.2856741,0.214514663,9.600489589,1.513917313,0.611857171,0.065047932,0.100835452,0,0,0.004664845,mine
Hyperemic,125,LCX,4.58E-01,1.2,0.735,0.24,0.38,0.62,0.924385613,1.55514622,1.682356582,2,5.967330079,1.655199088,0.4881253,1.920275705,3.36261446,5.913179,14.750607,0.826033992,346.509969,882.263795,416.8823927,313.2730416,1.525052278,2.072413008,1.245438835,0.321731895,0.052071195,0.123283685,0.000514604,0,0.039848644,mine
Hyperemic,126,LCX,4.51E-01,2.5,0.73,0.24,0.38,0.62,0.895336523,1.57338121,1.757307078,2,5.666777535,1.704924431,0.662437668,2.04393094,3.335200092,5.844595,15.058037,0.843250072,281.493904,679.507668,344.5178417,219.8723986,0.021831917,6.628635908,1.356920607,0.313715711,0.045776702,0.082567731,0.000190565,0,0.013293006,mine
Hyperemic,127,LCX,6.09E-01,1.2,0.875,0.24,0.38,0.62,0.775927351,1.467390456,1.89114413,3,4.615169965,1.740158422,1.332770854,2.321394439,3.166301126,5.418461,15.992462,0.895577872,839.240191,1458.701919,377.0247416,802.3201541,5.593897735,3.855088455,0.168809014,0.233072132,0.046949613,0.123246025,7.68E-05,0,0.143815426,mine
Hyperemic,128,LCX,5.96E-01,2.5,0.75,0.24,0.38,0.62,0.879720323,1.568656459,1.783130863,2,5.504247509,1.721620775,0.752567714,2.095082848,3.316625,5.793952,15.206071,0.851539976,317.585836,673.383898,321.0563474,240.9189523,0.125960864,8.183769725,1.387755482,0.305802238,0.044990892,0.082384705,0.000119654,0,0.012576345,mine
Hyperemic,129,LCX,4.58E-01,1.2,0.735,0.24,0.57,0.81,0.948219933,1.207086979,1.273003169,2,7.928614434,1.245756038,0.432963046,1.978227882,2.648519494,4.571146,11.449255,0.64115828,224.259134,613.019994,274.0256534,202.701696,0.894933155,3.192591169,1.649327209,0.200342285,0.03564347,0.101798739,0.001054077,0,0.062115729,mine
Hyperemic,130,LCX,4.51E-01,2.5,0.73,0.24,0.57,0.81,0.92623787,1.212227372,1.308764639,2,7.64066916,1.264473996,0.608474401,2.120278105,2.627006437,4.252008,11.601616,0.649690496,196.364575,445.741001,225.2497791,137.2098328,0.070537591,2.068287261,1.244547433,0.174453995,0.022024549,0.058071623,0.001022362,0,0.034624616,mine
Hyperemic,131,LCX,6.09E-01,1.2,0.875,0.24,0.57,0.81,0.833986815,1.154409114,1.384205474,2,6.348011163,1.265140636,1.263633351,2.402445975,2.532210287,4.188278,12.581412,0.704559072,604.406671,1085.301748,244.362334,573.4925924,11.89213038,3.367063452,0.011730709,0.165683266,0.033448546,0.108991894,0.00083242,0,0.154583835,mine
Hyperemic,132,LCX,5.96E-01,2.5,0.75,0.24,0.57,0.81,0.914461637,1.211283091,1.32458601,2,7.459666761,1.270328443,0.697774139,2.174534323,2.625982931,4.339854,11.741804,0.657541024,225.551613,456.903904,210.7046763,151.9770829,0.150415634,8.688619371,1.240755993,0.175199517,0.021516102,0.061966266,0.000679282,0,0.027830269,mine
