Condition,Geometry Number,Stenosis Percentage,Length,Width,Average Flow,P_d/P_a,HMR,HSR,P_Loss_Coeff,WSS,WSS_TE,WSS_LE,WSS_TE_Area,WSS_LE_Area,Rtotal_cor Value,Location,CFR,BMR/HMR,CFR/FFR,WSS_Area_Bifur,WSS_Bif,WSS_Avg_Area,WSS_LMB,WSS_min,WSS_TE_min,WSS_LE_min,WSS_TE_Area_min,WSS_LE_Area_min,WSS_Area_Bifur_min,WSS_Avg_Area_min,discord,source
Hyperemic,276,,,,,0.333333333,2.197802198,,3.084629216,,,,,,,,0.91,1.0465,2.73000000273,,,,,,,,,,,,3,garcia
Hyperemic,277,,,,,0.679012346,2.2,,2.01974534,,,,,,,,2.083333333,2.916666667,3.0681818162404957,,,,,,,,,,,,1,garcia
Hyperemic,278,,,,,0.895833333,2.205128205,,1.218522795,,,,,,,,2.785714286,3.077242525,3.109634552971027,,,,,,,,,,,,0,garcia
Hyperemic,279,,,,,0.947916667,2.219512195,,0.8740543,,,,,,,,2.411764706,2.597285068,2.544279249391023,,,,,,,,,,,,0,garcia
Hyperemic,280,,,,,0.819672131,2.222222222,,1.436649663,,,,,,,,1.875,2.04375,2.28750000041175,,,,,,,,,,,,2,garcia
Hyperemic,281,,,,,0.98,2.227272727,,0.414776652,,,,,,,,2.933333333,2.963265306,2.993197278571429,,,,,,,,,,,,0,garcia
Hyperemic,282,,,,,0.972222222,2.234042553,,0.533577548,,,,,,,,2.473684211,2.403007519,2.5443609033244257,,,,,,,,,,,,0,garcia
Hyperemic,283,,,,,0.802631579,2.259259259,,1.71401574,,,,,,,,1.588235294,2.135004822,1.9787849563292599,,,,,,,,,,,,2,garcia
Hyperemic,284,,,,,0.755555556,2.266666667,,1.788832181,,,,,,,,1.764705882,2.179930796,2.33564013656727,,,,,,,,,,,,3,garcia
Hyperemic,285,,,,,0.790697674,2.266666667,,1.701682005,,,,,,,,4.285714286,5.168067227,5.420168070457736,,,,,,,,,,,,1,garcia
Hyperemic,286,,,,,0.823529412,2.27027027,,1.519521066,,,,,,,,2.176470588,2.642857143,2.6428571418163265,,,,,,,,,,,,0,garcia
Hyperemic,287,,,,,0.87037037,2.292682927,,1.321212332,,,,,,,,2.157894737,2.180851064,2.479283315906078,,,,,,,,,,,,0,garcia
Hyperemic,288,,,,,0.811764706,2.3,,1.650529483,,,,,,,,2,2.173913043,2.463768115584961,,,,,,,,,,,,,garcia
Hyperemic,289,,,,,0.638297872,2.307692308,,2.102184231,,,,,,,,2.166666667,3.286111111,3.3944444467770367,,,,,,,,,,,,1,garcia
Hyperemic,290,,,,,0.97,2.30952381,,0.631274683,,,,,,,,2.1,2.121649485,2.1649484536082477,,,,,,,,,,,,0,garcia
Hyperemic,291,,,,,0.757894737,2.322580645,,1.779656458,,,,,,,,4.769230769,6.623931624,6.2927350411195695,,,,,,,,,,,,1,garcia
Hyperemic,292,,,,,0.739583333,2.366666667,,1.844349509,,,,,,,,1.428571429,1.830985915,1.9315895386733926,,,,,,,,,,,,3,garcia
Hyperemic,293,,,,,0.927536232,2.37037037,,1.236894486,,,,,,,,3.698630137,4.045376712,3.9875856159546768,,,,,,,,,,,,0,garcia
Hyperemic,294,,,,,0.696629213,2.384615385,,2.002069078,,,,,,,,2.166666667,2.830645161,3.11021505639902,,,,,,,,,,,,1,garcia
Hyperemic,295,,,,,0.870588235,2.387096774,,1.459321307,,,,,,,,2.384615385,2.352390852,2.7390852404523938,,,,,,,,,,,,0,garcia
Hyperemic,296,,,,,0.916666667,2.391304348,,1.075136346,,,,,,,,1.703703704,1.827609428,1.8585858582332415,,,,,,,,,,,,2,garcia
Hyperemic,297,,,,,0.918604651,2.393939394,,1.20872217,,,,,,,,2.75,3.098101266,2.9936708866064734,,,,,,,,,,,,0,garcia
Hyperemic,298,,,,,0.727272727,2.4,,1.877773264,,,,,,,,3.296703297,4.441391941,4.532967035074862,,,,,,,,,,,,1,garcia
Hyperemic,299,,,,,0.75,2.4,,1.826620742,,,,,,,,1.875,1.796875,2.5,,,,,,,,,,,,3,garcia
Hyperemic,300,,,,,0.833333333,2.413793103,,1.621984049,,,,,,,,2.636363636,3.502597403,3.1636363644654546,,,,,,,,,,,,0,garcia
Hyperemic,301,,,,,0.928571429,2.418604651,,1.036805085,,,,,,,,1.954545455,2.349213287,2.104895104413125,,,,,,,,,,,,2,garcia
Hyperemic,302,,,,,0.708860759,2.434782609,,2.038924173,,,,,,,,2.090909091,2.875,2.9496753268578093,,,,,,,,,,,,1,garcia
Hyperemic,303,,,,,0.968085106,2.459459459,,0.741369816,,,,,,,,2.466666667,2.629304029,2.5479853493376647,,,,,,,,,,,,0,garcia
Hyperemic,304,,,,,0.868131868,2.46875,,1.469533299,,,,,,,,1.904761905,2.073538276,2.194092827611761,,,,,,,,,,,,2,garcia
Hyperemic,305,,,,,0.696629213,2.48,,2.036135756,,,,,,,,2.272727273,3.262463343,3.262463345762676,,,,,,,,,,,,1,garcia
Hyperemic,306,,,,,0.774193548,2.482758621,,1.798075308,,,,,,,,1.611111111,1.857253086,2.0810185194155095,,,,,,,,,,,,3,garcia
Hyperemic,307,,,,,0.855555556,2.483870968,,1.531871974,,,,,,,,3.924050633,4.433667598,4.586552685539453,,,,,,,,,,,,0,garcia
Hyperemic,308,,,,,0.804597701,2.5,,1.736784868,,,,,,,,2,2.142857143,2.4857142861759183,,,,,,,,,,,,,garcia
Hyperemic,309,,,,,0.817307692,2.5,,1.616447776,,,,,,,,3.4,4.28,4.160000001566118,,,,,,,,,,,,0,garcia
Hyperemic,310,,,,,0.924528302,2.512820513,,1.121612782,,,,,,,,2.4375,2.586734694,2.6364795915139005,,,,,,,,,,,,0,garcia
Hyperemic,311,,,,,0.346774194,2.529411765,,2.848239186,,,,,,,,1.214285714,1.524916944,3.5016611241838835,,,,,,,,,,,,3,garcia
Hyperemic,312,,,,,0.910714286,2.55,,1.196532027,,,,,,,,1.904761905,2.072829132,2.091503267579136,,,,,,,,,,,,2,garcia
Hyperemic,313,,,,,0.46,2.555555556,,2.622500759,,,,,,,,0.9,0.97826087,1.9565217391304348,,,,,,,,,,,,3,garcia
Hyperemic,314,,,,,0.941176471,2.580645161,,1.116898626,,,,,,,,2.583333333,2.615625,2.7447916651116535,,,,,,,,,,,,0,garcia
Hyperemic,315,,,,,0.838983051,2.605263158,,1.519838417,,,,,,,,2.533333333,2.738047138,3.019528618582308,,,,,,,,,,,,0,garcia
Hyperemic,316,,,,,0.886792453,2.611111111,,1.367228254,,,,,,,,2.25,2.704787234,2.5372340420673383,,,,,,,,,,,,0,garcia
Hyperemic,317,,,,,0.91011236,2.612903226,,1.321018609,,,,,,,,2.583333333,3.061728395,2.838477364487172,,,,,,,,,,,,0,garcia
Hyperemic,318,,,,,0.844444444,2.620689655,,1.621984049,,,,,,,,2.071428571,2.234962406,2.4530075195805305,,,,,,,,,,,,0,garcia
Hyperemic,319,,,,,0.7,2.625,,2.07159329,,,,,,,,2.181818182,2.83982684,3.1168831171428577,,,,,,,,,,,,1,garcia
Hyperemic,320,,,,,0.943396226,2.631578947,,1.019236067,,,,,,,,2.235294118,2.324705882,2.3694117661225413,,,,,,,,,,,,0,garcia
Hyperemic,321,,,,,0.79,2.633333333,,1.768628795,,,,,,,,2.727272727,2.934407365,3.452243958227848,,,,,,,,,,,,1,garcia
Hyperemic,322,,,,,0.673469388,2.64,,2.10992197,,,,,,,,2.272727273,3.099173554,3.3746556465607314,,,,,,,,,,,,1,garcia
Hyperemic,323,,,,,0.853448276,2.675675676,,1.494697483,,,,,,,,2.642857143,2.98989899,3.0966810963480116,,,,,,,,,,,,0,garcia
Hyperemic,324,,,,,0.892473118,2.677419355,,1.417928622,,,,,,,,2.214285714,2.481067126,2.481067126102503,,,,,,,,,,,,0,garcia
Hyperemic,325,,,,,0.838709677,2.689655172,,1.651947273,,,,,,,,2.230769231,2.716962525,2.659763315214497,,,,,,,,,,,,0,garcia
Hyperemic,326,,,,,0.896551724,2.689655172,,1.430098523,,,,,,,,1.611111111,1.817663818,1.7970085471610782,,,,,,,,,,,,2,garcia
Hyperemic,327,,,,,0.73,2.703703704,,1.969288245,,,,,,,,1.8,2.194520548,2.4657534246575343,,,,,,,,,,,,3,garcia
Hyperemic,328,,,,,0.738636364,2.708333333,,2.001957362,,,,,,,,2.666666667,3.569230769,3.610256408930335,,,,,,,,,,,,1,garcia
Hyperemic,329,,,,,0.863636364,2.714285714,,1.48860718,,,,,,,,2.058823529,2.188854489,2.383900927312042,,,,,,,,,,,,0,garcia
Hyperemic,330,,,,,0.63963964,2.730769231,,2.172765305,,,,,,,,1.181818182,1.33162612,1.8476312412407712,,,,,,,,,,,,3,garcia
Hyperemic,331,,,,,0.863157895,2.733333333,,1.560352852,,,,,,,,2.5,2.865853659,2.8963414625316033,,,,,,,,,,,,0,garcia
Hyperemic,332,,,,,0.445945946,2.75,,2.855073374,,,,,,,,1.558441558,1.794569067,3.4946871296370077,,,,,,,,,,,,3,garcia
Hyperemic,333,,,,,0.967032967,2.75,,0.867473308,,,,,,,,2.285714286,2.493506494,2.3636363640123967,,,,,,,,,,,,0,garcia
Hyperemic,334,,,,,0.91,2.757575758,,1.317866639,,,,,,,,2.538461538,2.928994083,2.7895181736263734,,,,,,,,,,,,0,garcia
Hyperemic,335,,,,,0.978494624,2.757575758,,0.664654125,,,,,,,,3.707865169,3.870848253,3.7893567098433034,,,,,,,,,,,,0,garcia
Hyperemic,336,,,,,0.769230769,2.75862069,,1.856067255,,,,,,,,2.416666667,3.020833333,3.1416666680425,,,,,,,,,,,,1,garcia
Hyperemic,337,,,,,0.5,2.777777778,,2.589077004,,,,,,,,1.058823529,1.503529412,2.117647058,,,,,,,,,,,,3,garcia
Hyperemic,338,,,,,0.895652174,2.783783784,,1.343429807,,,,,,,,2.466666667,2.801941748,2.754045307548151,,,,,,,,,,,,0,garcia
Hyperemic,339,,,,,0.311111111,2.8,,3.193043699,,,,,,,,1.075268817,2.073732719,3.4562211987343647,,,,,,,,,,,,3,garcia
Hyperemic,340,,,,,0.769230769,2.8,,1.926991287,,,,,,,,2.5,2.821428571,3.250000000975,,,,,,,,,,,,1,garcia
Hyperemic,341,,,,,0.768421053,2.807692308,,1.913127994,,,,,,,,1.857142857,2.467710372,2.416829744252205,,,,,,,,,,,,3,garcia
Hyperemic,342,,,,,0.987951807,2.827586207,,0.475856014,,,,,,,,3.085106383,3.386092372,3.12272963229673,,,,,,,,,,,,0,garcia
Hyperemic,343,,,,,0.977011494,2.833333333,,0.747439496,,,,,,,,2.5,2.647058824,2.5588235300740485,,,,,,,,,,,,0,garcia
Hyperemic,344,,,,,0.78021978,2.84,,1.905801988,,,,,,,,1.923076923,2.491874323,2.464788732990081,,,,,,,,,,,,3,garcia
Hyperemic,345,,,,,0.788888889,2.84,,1.883525593,,,,,,,,2.5,2.992957746,3.169014084060702,,,,,,,,,,,,1,garcia
Hyperemic,346,,,,,0.654867257,2.846153846,,2.161769921,,,,,,,,2.6,3.372972973,3.970270268070526,,,,,,,,,,,,1,garcia
Hyperemic,347,,,,,0.693181818,2.904761905,,2.187577184,,,,,,,,1.4,1.698360656,2.0196721316772908,,,,,,,,,,,,3,garcia
Hyperemic,348,,,,,0.451923077,2.9375,,2.7482869,,,,,,,,1.333333333,1.843971631,2.950354608689301,,,,,,,,,,,,3,garcia
Hyperemic,349,,,,,0.53,2.944444444,,2.562204857,,,,,,,,1.285714286,1.576819407,2.4258760113207543,,,,,,,,,,,,3,garcia
Hyperemic,350,,,,,0.65,2.954545455,,2.259874692,,,,,,,,1.375,1.565384615,2.1153846153846154,,,,,,,,,,,,3,garcia
Hyperemic,351,,,,,0.80952381,2.956521739,,1.88131632,,,,,,,,1.4375,1.670036765,1.775735293073097,,,,,,,,,,,,2,garcia
Hyperemic,352,,,,,0.945652174,3,,1.174826018,,,,,,,,2.636363636,2.787878788,2.7878787872378963,,,,,,,,,,,,0,garcia
Hyperemic,353,,,,,0.979591837,3,,0.691382049,,,,,,,,2.461538462,2.564102564,2.5128205126111114,,,,,,,,,,,,0,garcia
Hyperemic,354,,,,,0.91,3.033333333,,1.40065201,,,,,,,,3.333333333,3.516483516,3.6630036626373625,,,,,,,,,,,,0,garcia
Hyperemic,355,,,,,0.585106383,3.055555556,,2.481171606,,,,,,,,2.045454545,2.938016529,3.4958677676910597,,,,,,,,,,,,1,garcia
Hyperemic,356,,,,,0.49,3.0625,,2.69998222,,,,,,,,1.6,2.12244898,3.2653061224489797,,,,,,,,,,,,3,garcia
Hyperemic,357,,,,,0.479166667,3.066666667,,2.747439496,,,,,,,,1.5,2.184782609,3.1304347804310018,,,,,,,,,,,,3,garcia
Hyperemic,358,,,,,0.798076923,3.074074074,,1.860143776,,,,,,,,4.426229508,5.226150504,5.546118902124927,,,,,,,,,,,,1,garcia
Hyperemic,359,,,,,0.798076923,3.074074074,,1.860143776,,,,,,,,4.426229508,5.226150504,5.546118902124927,,,,,,,,,,,,1,garcia
Hyperemic,360,,,,,0.865168539,3.08,,1.683953238,,,,,,,,1.785714286,1.971243043,2.064007422257873,,,,,,,,,,,,2,garcia
Hyperemic,361,,,,,0.821052632,3.12,,1.835220914,,,,,,,,3.012048193,3.629904232,3.66852023318281,,,,,,,,,,,,0,garcia
Hyperemic,362,,,,,0.804347826,3.217391304,,1.932468843,,,,,,,,2.875,3.846283784,3.5743243247107377,,,,,,,,,,,,0,garcia
Hyperemic,363,,,,,0.81,3.24,,1.883525593,,,,,,,,1.923076923,2.279202279,2.3741690407407408,,,,,,,,,,,,2,garcia
Hyperemic,364,,,,,0.84375,3.24,,1.780863251,,,,,,,,1.923076923,2.231718898,2.2792022791111113,,,,,,,,,,,,2,garcia
Hyperemic,365,,,,,0.85,3.269230769,,1.746796573,,,,,,,,1.444444444,1.580392157,1.6993464047058824,,,,,,,,,,,,2,garcia
Hyperemic,366,,,,,0.323529412,3.3,,3.2395011,,,,,,,,1.333333333,1.696969697,4.121212117184572,,,,,,,,,,,,3,garcia
Hyperemic,367,,,,,0.43,3.307692308,,2.928640161,,,,,,,,1.3,1.813953488,3.0232558139534884,,,,,,,,,,,,3,garcia
Hyperemic,368,,,,,0.921428571,3.307692308,,1.259915481,,,,,,,,1.95,2.040697674,2.116279070751758,,,,,,,,,,,,2,garcia
Hyperemic,369,,,,,0.892086331,3.351351351,,1.44033982,,,,,,,,1.681818182,1.763196481,1.885263929685747,,,,,,,,,,,,2,garcia
Hyperemic,370,,,,,0.947916667,3.37037037,,1.236894486,,,,,,,,1.421052632,1.514748409,1.4991324464178877,,,,,,,,,,,,2,garcia
Hyperemic,371,,,,,0.838095238,3.384615385,,1.801154235,,,,,,,,2.888888889,3.446969697,3.446969697493974,,,,,,,,,,,,0,garcia
Hyperemic,372,,,,,0.88,3.384615385,,1.64988656,,,,,,,,1.733333333,1.871212121,1.9696969693181818,,,,,,,,,,,,2,garcia
Hyperemic,373,,,,,0.824175824,3.409090909,,1.919926631,,,,,,,,2.558139535,3.240310078,3.1038759697954936,,,,,,,,,,,,0,garcia
Hyperemic,374,,,,,0.72,3.428571429,,2.203371451,,,,,,,,1.05,1.166666667,1.4583333333333335,,,,,,,,,,,,3,garcia
Hyperemic,375,,,,,0.272,3.434343434,,3.368423013,,,,,,,,1.302631579,1.494195046,4.7890866875,,,,,,,,,,,,3,garcia
Hyperemic,376,,,,,0.909090909,3.448275862,,1.475856014,,,,,,,,3.222222222,3.415555556,3.5444444445544447,,,,,,,,,,,,0,garcia
Hyperemic,377,,,,,0.81,3.52173913,,1.955949938,,,,,,,,1.533333333,1.817283951,1.8930041148148147,,,,,,,,,,,,2,garcia
Hyperemic,378,,,,,0.602272727,3.533333333,,2.592537536,,,,,,,,2.459016393,4.314877822,4.0828951449431985,,,,,,,,,,,,1,garcia
Hyperemic,379,,,,,0.804123711,3.545454545,,1.994560249,,,,,,,,2.365591398,2.911497105,2.9418252013215413,,,,,,,,,,,,0,garcia
Hyperemic,380,,,,,0.747252747,3.578947368,,2.204872644,,,,,,,,1.583333333,1.979166667,2.1188725492902067,,,,,,,,,,,,3,garcia
Hyperemic,381,,,,,0.487804878,3.636363636,,2.94111593,,,,,,,,1.428571429,2.357142857,2.928571429742857,,,,,,,,,,,,3,garcia
Hyperemic,382,,,,,0.884210526,3.652173913,,1.718589023,,,,,,,,2.527472527,2.948717949,2.858451073223256,,,,,,,,,,,,0,garcia
Hyperemic,383,,,,,0.55,3.666666667,,2.701682005,,,,,,,,1.363636364,1.561983471,2.4793388436363633,,,,,,,,,,,,3,garcia
Hyperemic,384,,,,,0.265822785,3.684210526,,3.652330292,,,,,,,,0.93442623,1.290398126,3.515222481774841,,,,,,,,,,,,3,garcia
Hyperemic,385,,,,,0.85,3.695652174,,1.853287597,,,,,,,,1.916666667,2.142156863,2.2549019611764707,,,,,,,,,,,,2,garcia
Hyperemic,386,,,,,0.6125,3.769230769,,2.664126999,,,,,,,,1.666666667,2.414965986,2.721088435918367,,,,,,,,,,,,3,garcia
Hyperemic,387,,,,,0.618181818,3.777777778,,2.51335629,,,,,,,,1.125,1.422794118,1.8198529417117213,,,,,,,,,,,,3,garcia
Hyperemic,388,,,,,0.367521368,3.909090909,,3.187098359,,,,,,,,1.30952381,1.492248062,3.5631229202433747,,,,,,,,,,,,3,garcia
Hyperemic,389,,,,,0.822222222,4.111111111,,2.094226982,,,,,,,,3,3.445945946,3.64864864963477,,,,,,,,,,,,0,garcia
Hyperemic,390,,,,,0.707317073,4.142857143,,2.48860718,,,,,,,,1.166666667,1.367816092,1.6494252882257234,,,,,,,,,,,,3,garcia
Hyperemic,391,,,,,0.79,4.157894737,,2.165364102,,,,,,,,1.727272727,1.945914845,2.1864211734177212,,,,,,,,,,,,3,garcia
Hyperemic,392,,,,,0.888888889,4.235294118,,1.893996676,,,,,,,,3.953488372,4.228036176,4.44767441794404,,,,,,,,,,,,0,garcia
Hyperemic,393,,,,,0.809090909,4.238095238,,2.078432715,,,,,,,,2.1,2.666292135,2.595505618269158,,,,,,,,,,,,0,garcia
Hyperemic,394,,,,,0.912621359,4.272727273,,1.670049157,,,,,,,,2.365591398,2.566918325,2.5920841920597653,,,,,,,,,,,,0,garcia
Hyperemic,395,,,,,0.6,4.285714286,,2.710455929,,,,,,,,1.272727273,1.633333333,2.121212121666667,,,,,,,,,,,,3,garcia
Hyperemic,396,,,,,0.777777778,4.375,,2.117350781,,,,,,,,2.4,3.017142857,3.085714284832653,,,,,,,,,,,,1,garcia
Hyperemic,397,,,,,0.352380952,4.404761905,,3.38460235,,,,,,,,1.012048193,1.148811462,2.8720286589157067,,,,,,,,,,,,3,garcia
Hyperemic,398,,,,,0.574074074,4.428571429,,2.77115377,,,,,,,,1.555555556,2.082437276,2.709677420478668,,,,,,,,,,,,3,garcia
Hyperemic,399,,,,,0.471910112,4.615384615,,3.154667083,,,,,,,,1.166666667,1.555555556,2.4722222248121697,,,,,,,,,,,,3,garcia
Hyperemic,400,,,,,0.47,4.7,,3.124927879,,,,,,,,1.25,1.728723404,2.6595744680851063,,,,,,,,,,,,3,garcia
