Length,Stenosis Percentage,discord
0.9,0.5985359125502809,2.0
0.9,0.2982273990851342,0.0
3.0,0.5951443504385724,2.0
2.5,0.30904356928746335,0.0
2.5,0.588340170321754,3.0
2.5,0.4528590858545518,2.0
2.0,0.3088178607003733,0.0
1.66,0.3090435692874629,0.0
3.0,0.5951443504385724,1.0
0.9,0.5985359125502809,1.0
2.5,0.4528590858545518,2.0
2.5,0.588340170321754,3.0
1.2,0.45253744510609184,0.0
2.5,0.588340170321754,2.0
0.1,1.221245327087672e-15,2.0
2.5,0.49445572328264864,1.0
0.9,0.6182608632229922,1.0
1.7,0.45285908585455226,1.0
2.0,0.44079359487256153,1.0
1.66,0.6182608632229937,1.0
2.0,0.48293281581511055,1.0
1.2,0.4813122844963183,1.0
1.5,0.45285908585455226,1.0
2.0,0.5908588520863007,1.0
1.7,0.5583999396986585,1.0
2.5,0.4528590858545518,1.0
2.5,0.11173319765978929,0.0
1.2,0.5885181794294424,1.0
1.66,0.20484419570961096,0.0
1.2,0.45253744510609184,0.0
2.5,0.588340170321754,1.0
1.5,0.5583999396986585,1.0
0.9,0.19718878099658513,0.0
1.2,0.45253744510609184,2.0
1.2,0.45253744510609184,2.0
2.0,0.11137703100194583,0.0
2.5,0.4528590858545518,0.0
2.5,0.588340170321754,2.0
0.1,1.221245327087672e-15,0.0
0.9,0.30254953059368606,2.0
2.0,0.4058147879532344,0.0
3.0,0.3007901338947706,0.0
0.9,0.3916117361723976,0.0
2.5,0.2048441957096112,0.0
0.1,1.221245327087672e-15,0.0
2.0,0.20484419570961107,0.0
1.66,0.4058147879532344,0.0
3.0,0.3007901338947706,2.0
0.9,0.30254953059368606,0.0
2.5,0.4058147879532344,0.0
2.5,0.588340170321754,3.0
1.2,0.45253744510609184,2.0
1.2,0.45253744510609184,2.0
2.5,0.588340170321754,3.0
1.2,0.558399939698658,1.0
1.7,0.481312284496317,1.0
0.1,1.221245327087672e-15,2.0
2.5,0.6182608632229937,1.0
0.9,0.4980058769521806,1.0
1.2,0.45285908585455226,1.0
1.5,0.48131228449631686,1.0
2.0,0.481312284496317,1.0
1.66,0.48293281581511055,1.0
2.0,0.6182608632229937,1.0
0.1,1.221245327087672e-15,0.0
0.9,0.10755751690722748,0.0
0.1,1.221245327087672e-15,2.0
1.2,0.5885181794294424,2.0
2.0,0.5583999396986589,1.0
1.7,0.5908588520863007,1.0
1.2,0.5885181794294424,2.0
0.1,1.221245327087672e-15,2.0
1.66,0.11173319765978784,0.0
2.5,0.481312284496317,1.0
1.5,0.5908588520863007,1.0
1.2,0.5908588520863005,1.0
