Condition,Geometry Number,Location,Stenosis Percentage,Length,Width,R_scale,R_micro,R_total,P_d/P_a,CFR,CFR/FFR,discord,HMR,BMR/HMR,HSR,P_Loss_Coeff,Average Flow,Max Flow,v_distal,WSS_LMB,WSS_Bif,WSS_LE,WSS_TE,WSS_min,WSS_LE_min,WSS_TE_min,WSS_Area_Bifur,WSS_LE_Area,WSS_TE_Area,WSS_Area_Bifur_min,WSS_LE_Area_min,WSS_TE_Area_min,source,BMR,iFR,FFR
Hyperemic,58,LCX,0.595,3.0,0.76,0.24,0.0,0.24,0.640768073,3.275656845,5.112078741,1.0,2.06008946,4.573567643,1.154941915,1.973600249,6.725018759,10.989131,30.86840386,814.901746,1735.756854,888.6050457,595.7586515,0.734339432,20.87221544,0.73899006,0.932497011,0.19098163,0.098250316,0.0,0.0,0.0,mine,9.421958495941341,,0.640768073
Hyperemic,84,LAD,0.108,0.9,0.43,0.24,0.0,0.24,0.96035682,3.763306141,3.91865405,0.0,2.243043135,3.679783439,0.092592005,0.741683326,7.540075138,12.704771,42.21282728,1068.732764,1902.305428,900.4731888,183.8713694,81.25501416,5.294938493,52.91063063,0.910454563,0.233522831,0.303482863,0.0,0.0,0.0,mine,8.253912981135642,,0.96035682
Hyperemic,85,LAD,0.112,1.66,0.58,0.24,0.0,0.24,0.939570554,3.759990445,4.001818097,0.0,2.237341368,3.728491011,0.143896911,0.941928483,7.519632253,12.671243,41.36921383,947.585162,1885.374155,876.1074507,213.6075109,11.02711936,11.02711936,54.24575856,,0.277690914,0.269883511,0.0,0.0,0.0,mine,8.341907179126443,,0.939570554
Hyperemic,86,LAD,0.111,2.0,0.43,0.24,0.0,0.24,0.937620958,3.78191645,4.0335238,0.0,2.170643458,3.756206726,0.144410871,0.931799014,7.493182552,12.631045,42.4966948,949.370312,2003.333109,979.6508653,212.6642977,4.646975944,4.646975944,65.27433742,0.924852969,0.231332998,0.313194197,0.0,0.0,0.0,mine,8.153385556687498,,0.937620958
Hyperemic,87,LAD,0.112,2.5,0.58,0.24,0.0,0.24,0.919080649,3.754014314,4.08453199,0.0,2.054549106,3.839395805,0.180890306,1.014268018,7.489532218,12.616206,44.02522207,1040.859337,1941.872063,905.6923312,228.7479914,1.55194948,1.55194948,67.94763266,,0.259883873,0.300275006,0.0,0.0,0.0,mine,7.888227218742901,,0.919080649
Hyperemic,88,LAD,0.197,0.9,0.43,0.24,0.0,0.24,0.955572398,3.709949626,3.88243699,0.0,2.357370082,3.719529469,0.109601637,0.840807166,7.529893552,12.589395,39.77078412,1044.787504,1891.538202,852.1112578,,84.72044972,9.10442707,,,0.27031677,,,0.0,,mine,8.768307489337946,,0.955572398
Hyperemic,89,LAD,0.205,1.66,0.58,0.24,0.0,0.24,0.932418819,3.709513898,3.978377336,0.0,2.299125842,3.775228065,0.166639321,1.023522749,7.466100356,12.452738,39.70169225,947.215095,1932.360311,918.1260623,245.4314955,4.362939739,4.362939739,34.17916655,,0.272839522,0.238011048,,0.0,0.0,mine,8.679724403685155,,0.932418819
Hyperemic,90,LAD,0.205,2.0,0.58,0.24,0.0,0.24,0.927742771,3.609858286,3.891012031,0.0,2.212383998,3.836142508,0.172311487,1.029049801,7.431015115,12.107212,40.53392954,960.002738,1797.326989,814.4667631,247.9728486,7.873676305,7.873676305,35.96565057,,0.237581623,0.240318246,0.0,0.0,0.0,mine,8.487020298746787,,0.927742771
Hyperemic,91,LAD,0.205,2.5,0.58,0.24,0.0,0.24,0.910272573,3.706509232,4.07186742,0.0,2.082481476,3.870708035,0.205274454,1.080954381,7.447860241,12.426984,42.84841928,999.603756,1853.613765,856.0939946,259.123871,6.813019877,8.349790135,48.15929761,,0.265448142,0.233978022,0.0,0.0,0.0,mine,8.060677781891858,,0.910272573
Hyperemic,92,LAD,0.298,0.9,0.745,0.24,0.0,0.24,0.942689066,3.631626754,3.852412091,0.0,2.350780916,3.759671928,0.142916106,0.96349246,7.451273023,12.274321,39.09696053,1080.360693,1976.155823,882.3676985,264.7950133,31.29579155,3.099783261,3.203891347,,0.258000518,0.186875554,0.000208682,0.0,0.000661178,mine,8.838165018763327,,0.942689066
Hyperemic,93,LAD,0.309,1.66,0.9,0.24,0.0,0.24,0.886044388,3.624225776,4.090343355,0.0,2.23575253,3.986197024,0.287543774,1.267664916,7.324861253,12.241098,39.04750883,854.119079,1945.891685,917.5520625,430.0645836,1.7536832,9.163103881,3.909043777,0.916566429,0.278607453,0.211127367,0.0,0.0,0.000688442,mine,8.912150081486471,,0.886044388
Hyperemic,94,LAD,0.309,2.0,0.745,0.24,0.0,0.24,0.900714404,3.667400683,4.071657637,0.0,2.216615288,3.913683622,0.244337126,1.187615046,7.376683494,12.306007,39.89593939,1019.421368,1927.829155,953.3500624,388.5264911,0.369178938,14.46038771,,,0.242751913,0.215643486,0.0,0.0,0.007449043,mine,8.675130948920414,,0.900714404
Hyperemic,95,LAD,0.309,2.5,0.9,0.24,0.0,0.24,0.858090045,3.541122688,4.126749527,0.0,2.004980883,4.09423136,0.331581456,1.299134961,7.273192149,11.947408,41.88027773,947.325016,1745.855132,817.6658758,446.4925804,0.639824267,6.52774308,0.718528261,,0.259829334,0.195722599,0.0,0.0,0.022534019,mine,8.20885560737909,,0.858090045
Hyperemic,96,LAD,0.392,0.9,0.745,0.24,0.0,0.24,0.926318414,3.648280537,3.93847351,0.0,2.445656045,3.901269952,0.19453334,1.119429809,7.430936759,12.285924,37.16366309,1001.229248,1898.255739,895.7689062,338.0850954,4.08200339,7.018690654,0.510938158,,0.291046815,0.193373337,0.0,0.0,0.003639622,mine,9.541164441285659,,0.926318414
Hyperemic,97,LAD,0.406,1.66,0.9,0.24,0.0,0.24,0.849483843,3.530684529,4.156270374,0.0,2.167709265,4.22580652,0.384086491,1.398162597,7.189452103,11.819316,38.62075103,956.872246,1800.281676,825.1230003,603.2531883,0.683688322,11.24438304,5.910061844,0.915987847,0.278591463,0.207901898,0.0,0.0,0.0,mine,9.160319945501408,,0.849483843
Hyperemic,98,LAD,0.406,2.0,0.9,0.24,0.0,0.24,0.839146427,3.495736127,4.165823765,0.0,2.074949387,4.285105704,0.397741101,1.399850842,7.178217184,11.764026,39.83858546,904.389907,1779.039753,772.7755377,638.2716611,0.419260941,6.716936457,4.804038088,,0.253801718,0.210204485,0.0,0.0,0.0,mine,8.891377453745005,,0.839146427
Hyperemic,99,LAD,0.406,2.5,0.9,0.24,0.0,0.24,0.815711656,3.442282348,4.219974453,0.0,1.990080358,4.305304055,0.449605706,1.447201539,7.108032046,11.659506,40.38169596,847.591193,1732.2124,780.5529543,631.8463008,0.658035401,8.491129764,3.42896688,,0.258724209,0.191434881,0.0,0.0,0.00035535,mine,8.56790103507325,,0.815711656
Hyperemic,100,LAD,0.498,0.9,0.69,0.24,0.0,0.24,0.767591141,3.293378639,4.290537585,1.0,1.957754902,4.15382434,0.592762943,1.587097775,6.901138759,11.167432,38.57780826,905.946114,2780.484192,826.5679107,557.9601137,6.841795528,4.308568546,2.343825946,0.851986068,0.285738908,0.184884166,0.000363663,0.0,0.001186836,mine,8.132169963681914,,0.767591141
Hyperemic,101,LAD,0.483,1.66,0.69,0.24,0.0,0.24,0.680458125,3.118091539,4.582341551,1.0,1.612321247,4.633779081,0.757143072,1.657346,6.536936839,10.566863,41.91661782,817.744377,2187.223462,654.3807928,1344.240708,2.430251485,1.879681446,7.05816439,0.91272377,0.255625967,0.217407951,0.0,0.0,0.0,mine,7.471140466200434,,0.680458125
Hyperemic,102,LAD,0.483,2.0,0.69,0.24,0.0,0.24,0.660257884,3.085566672,4.673275016,1.0,1.552728815,4.727773837,0.798971715,1.686219023,6.343399793,10.37623,41.3872587,738.104042,2016.964564,627.5281644,1349.616545,0.635424601,4.108480374,6.304345123,0.906577278,0.235962933,0.194438056,0.0,0.0,0.0,mine,7.340950667513013,,0.660257884
Hyperemic,103,LAD,0.494,2.5,0.69,0.24,0.0,0.24,0.621438458,2.944949235,4.738923379,1.0,1.520510155,4.706987639,0.926248871,1.777821814,6.106729218,9.954753,38.85618488,688.197819,1822.759157,571.0289509,1117.701926,0.704884908,5.556452433,2.312529556,0.866457716,0.195485021,0.157149262,0.0,0.0,0.000506248,mine,7.157022504558975,,0.621438458
Hyperemic,104,LAD,0.618,0.9,0.79,0.24,0.0,0.24,0.609222657,2.922150081,4.796522334,1.0,1.731645437,4.360514048,1.110739719,1.908658452,6.229532207,9.86633,34.47530602,790.071542,3936.998691,680.2403064,586.509031,18.38869241,2.610195742,2.632548017,0.866758805,0.325768403,0.125882425,0.0,0.0,0.0,mine,7.550864254193598,,0.609222657
Hyperemic,105,LAD,0.618,1.66,0.79,0.24,0.0,0.24,0.485432042,2.667466887,5.495036698,1.0,1.302850696,4.891515003,1.381048557,1.974679124,5.636134655,8.970219,36.82002712,635.728847,2565.304714,546.8623969,1837.381556,2.146444544,1.166279123,4.240137628,0.869473135,0.257081643,0.185328316,0.0,0.0,0.0,mine,6.3729137261529925,,0.485432042
Hyperemic,106,LAD,0.618,2.0,0.79,0.24,0.0,0.24,0.462105454,2.605976615,5.639354811,1.0,1.249151062,4.969238349,1.454022102,1.999481046,5.530506529,8.80037,36.61375251,666.986987,2353.279592,496.5907204,1760.576691,1.457703675,1.47325608,4.440677751,0.85110296,0.216319257,0.163913401,0.000304943,0.000777737,0.0,mine,6.207329360984477,,0.462105454
Hyperemic,107,LAD,0.618,2.5,0.79,0.24,0.0,0.24,0.431360887,2.535066936,5.876904963,1.0,1.180812516,5.010605656,1.556599595,2.0344759,5.381528793,8.583473,36.16223739,685.528138,2106.672789,471.207659,1337.225932,0.478601588,0.727648397,1.135698453,,0.153865984,0.143136736,6.86e-05,0.000173552,0.001761722,mine,5.916585871345191,,0.431360887
