Condition,Geometry Number,Location,Stenosis Percentage,Length,Width,R_scale,R_micro,R_total,P_d/P_a,CFR,CFR/FFR,discord,HMR,BMR/HMR,HSR,P_Loss_Coeff,Average Flow,Max Flow,v_distal,WSS_LMB,WSS_Bif,WSS_LE,WSS_TE,WSS_min,WSS_LE_min,WSS_TE_min,WSS_Area_Bifur,WSS_LE_Area,WSS_TE_Area,WSS_Area_Bifur_min,WSS_LE_Area_min,WSS_TE_Area_min,source,BMR,iFR,FFR
Non-hyperemic,20,LAD,0.453,2.7,0.68,0.24,0.0,0.24,0.939512971,,,,,,,,2.228638897,3.361119,,,,197.3588071,208.1977703,0.038296445,1.086500237,1.365481636,0.226867074,0.044996536,0.112913744,0.000950416,0.0,0.042726251,mine,,0.939512971,
Non-hyperemic,22,LAD,0.481,2.5,0.71,0.24,0.0,0.24,0.929789218,,,,7.503014289,,0.566571963,1.975062786,2.230089897,3.363308,15.09199225,72.28761,479.266001,181.2964707,253.7670244,0.105960133,2.195178173,1.539042598,0.233667191,0.044966889,0.118473711,0.002196372,0.0,0.0230864,mine,,0.929789218,
Non-hyperemic,25,LAD,0.558,2.5,0.78,0.24,0.0,0.24,0.880079226,,,,6.66013748,,0.907519251,2.13745586,2.229073816,3.361775,16.63237491,73.51242,660.457401,187.9721317,401.1368477,0.329324011,3.029242069,1.485941652,0.231545572,0.04452184,0.121229735,0.000314992,0.0,0.008396968,mine,,0.880079226,
Non-hyperemic,26,LAD,0.588,2.5,0.78,0.24,0.0,0.24,0.849784532,,,,6.506869145,,1.150212029,2.237050773,2.231082184,3.364804,16.76028551,73.584895,779.126378,176.8061617,490.2939095,0.402930656,5.127062708,1.396786086,0.229684946,0.048071808,0.123223979,0.000538601,0.0,0.008335279,mine,,0.849784532,
Non-hyperemic,37,LAD,1.22e-15,0.1,0.251,0.24,0.0,0.24,0.99304129,,,,7.4647482,,0.052309022,0.845820089,2.156673741,3.346245,18.76336789,83.699386,411.703468,,,,,,,,,,,,mine,,0.99304129,
Non-hyperemic,48,LCX,0.303,0.9,0.61,0.24,0.0,0.24,0.988900287,,,,8.659774615,,0.097199903,1.269181612,2.230621333,3.364109,13.15341434,82.268671,442.209096,224.7735733,51.99510656,0.214855708,6.147477707,0.175428503,0.129793305,0.027076142,0.0,0.024261562,0.0,0.087953811,mine,,0.988900287,
Non-hyperemic,49,LCX,0.301,3.0,0.9,0.24,0.0,0.24,0.97316819,,,,9.973817986,,0.274994182,1.787561838,2.235795276,3.371912,11.28017785,75.109263,372.074982,186.6719896,43.87251004,1.07383467,3.235495889,7.396480676,0.093976685,0.022234512,0.0,0.001077717,0.0,0.0,mine,,0.97316819,
Non-hyperemic,50,LCX,0.599,0.9,0.57,0.24,0.0,0.24,0.900407706,,,,7.223121032,,0.798934962,2.129278159,2.252098241,3.396499,14.92064328,545.600706,1205.501572,221.0773475,544.1888339,7.660404585,3.212417762,0.412724532,0.147530565,0.031475742,0.118833509,0.023547944,0.0,0.122726622,mine,,0.900407706,
Non-hyperemic,51,LCX,0.595,3.0,0.76,0.24,0.0,0.24,0.917344845,,,,9.421958494,,0.848942952,2.260460888,2.224440172,3.354787,11.72119522,200.987644,447.142565,197.6419258,135.3643342,0.097713442,8.026376076,0.268712945,0.157146669,0.020166348,0.046331289,0.00098745,0.0,0.014203652,mine,,0.917344845,
Non-hyperemic,60,LAD,0.108,0.9,0.43,0.24,0.0,0.24,,,,,8.25391298,,0.064174015,,2.238478954,3.37596,13.32826963,72.425202,376.06429,197.8200537,40.26746024,20.40407798,1.760339063,17.85089822,0.059057031,0.031369187,0.0,0.000467712,0.0,0.0,mine,,,
Non-hyperemic,61,LAD,0.112,1.66,0.58,0.24,0.0,0.24,,,,,8.341907181,,0.094999379,,2.234540552,3.37002,13.12306,71.991405,377.23309,198.0860023,44.4132129,0.799562332,0.799562332,20.04949129,0.058697419,0.021414094,0.0,0.00060404,0.000734387,0.0,mine,,,
Non-hyperemic,62,LAD,0.111,2.0,0.43,0.24,0.0,0.24,,,,,8.153385556,,0.09589614,,2.214537678,3.339853,13.42949188,73.055018,378.477252,199.2940243,44.89863099,1.120261943,1.120261943,22.34067916,0.058468687,0.032301807,0.0,0.000802563,0.001221988,0.0,mine,,,
Non-hyperemic,63,LAD,0.112,2.5,0.58,0.24,0.0,0.24,,,,,7.888227221,,0.118547692,,2.228377023,3.360724,13.84156158,72.850399,377.025144,198.5798114,48.73507365,0.819291388,0.819291388,23.72575198,0.057276879,0.021389904,0.0,0.000342249,0.000645103,0.0,mine,,,
Non-hyperemic,64,LAD,0.197,0.9,0.43,0.24,0.0,0.24,,,,,8.76830749,,0.074486784,,2.250052092,3.393414,12.53549731,72.792531,366.918236,188.5161329,42.66136281,24.81033048,2.625450832,17.62139847,0.059759851,0.02247909,0.0,0.000254332,0.0,0.0,mine,,,
Non-hyperemic,65,LAD,0.205,1.66,0.58,0.24,0.0,0.24,,,,,8.679724404,,0.107841182,,2.225889874,3.356973,12.59521286,73.134932,376.431805,191.0661508,48.9994855,1.778109636,1.778109636,16.31640702,0.05747065,0.022474337,0.0,0.00015953,0.0,0.0,mine,,,
Non-hyperemic,66,LAD,0.205,2.0,0.58,0.24,0.0,0.24,,,,,8.487020297,,0.113901551,,2.223871609,3.35393,12.89356484,73.749309,363.091227,184.1464339,53.52795785,1.839462031,1.839462031,17.1578875,0.05975822,0.033001352,0.0,0.000758811,0.000794503,0.0,mine,,,
Non-hyperemic,67,LAD,0.205,2.5,0.58,0.24,0.0,0.24,,,,,8.060677783,,0.133065967,,2.223087149,3.352746,13.53297131,71.475381,366.422265,189.0129241,52.21464232,0.8826351,1.066928892,20.36203515,0.057863626,0.02191691,0.0,0.000368874,0.000375892,0.0,mine,,,
Non-hyperemic,68,LAD,0.298,0.9,0.745,0.24,0.0,0.24,,,,,8.838165018,,0.087663361,,2.24105246,3.379841,12.41084712,73.545153,364.141066,189.0840634,44.93173025,22.23639751,1.427549341,7.490161473,0.086822468,0.031276489,0.0,0.000184175,0.0,0.0,mine,,,
Non-hyperemic,69,LAD,0.309,1.66,0.9,0.24,0.0,0.24,,,,,8.912150083,,0.168306285,,2.239550782,3.377576,12.24362466,73.336331,387.809052,209.0199299,74.91711559,0.891921852,0.891921852,1.413784456,0.190018215,0.022371351,0.003205486,0.0,0.0,0.040024862,mine,,,
Non-hyperemic,70,LAD,0.309,2.0,0.745,0.24,0.0,0.24,,,,,8.675130948,,0.149286288,,2.224921161,3.355512,12.58860232,72.029876,426.538574,214.9669252,67.49891936,0.877582064,0.877582064,,0.092421748,0.033804888,0.0,0.000903332,0.00079593,0.0,mine,,,
Non-hyperemic,71,LAD,0.309,2.5,0.9,0.24,0.0,0.24,,,,,8.208855608,,0.204685857,,2.237115667,3.373904,13.24723795,71.583933,355.292851,175.0657491,79.99429625,0.310947842,0.310947842,6.53666571,0.149427842,0.022710771,0.033225852,0.000212498,0.000155757,0.0,mine,,,
Non-hyperemic,72,LAD,0.392,0.9,0.745,0.24,0.0,0.24,,,,,9.541164439,,0.115186519,,2.232931563,3.367593,11.49621956,75.189997,377.714905,191.2636187,49.2381602,14.75646729,1.987439787,4.533511021,0.134986585,0.026867772,0.0,0.0006643,0.0,0.0,mine,,,
Non-hyperemic,73,LAD,0.406,1.66,0.9,0.24,0.0,0.24,,,,,9.160319948,,0.227169362,,2.219674172,3.347599,11.93078828,72.406544,390.679194,209.0196941,99.18711282,0.246412273,1.711367872,0.171016013,0.210978117,0.025235538,0.021577149,8.37e-05,0.0,0.074832882,mine,,,
Non-hyperemic,74,LAD,0.406,2.0,0.9,0.24,0.0,0.24,,,,,8.891377453,,0.24069153,,2.231377793,3.36525,12.27923745,72.971077,370.916834,190.5919117,112.3626765,0.146369168,2.405232266,0.146369168,0.228243531,0.03278732,0.068729556,0.000295366,0.0,0.066417277,mine,,,
Non-hyperemic,75,LAD,0.406,2.5,0.9,0.24,0.0,0.24,,,,,8.567901035,,0.280620228,,2.245895218,3.387144,12.6839117,72.216948,366.609876,187.1420216,107.9405303,0.013657156,1.468880879,1.13419575,0.177575358,0.024964987,0.081430909,0.000188159,0.0,0.031330061,mine,,,
Non-hyperemic,76,LAD,0.498,0.9,0.69,0.24,0.0,0.24,,,,,8.132169965,,0.29003145,,2.248368218,3.390874,13.42973512,72.48829,665.184074,199.8676326,104.8572272,1.041271049,0.907250969,0.361974136,0.16249426,0.09096958,0.020380428,0.00627617,0.003388432,0.014466866,mine,,,
Non-hyperemic,77,LAD,0.483,1.66,0.69,0.24,0.0,0.24,,,,,7.471140466,,0.48051928,,2.247051184,3.388888,,72.580563,566.905208,161.6608834,324.3907782,0.438597187,2.584809052,3.729310139,0.229658994,0.057975335,0.122357199,0.000321417,0.0,0.003470911,mine,,,
Non-hyperemic,78,LAD,0.483,2.0,0.69,0.24,0.0,0.24,,,,,7.340950666,,0.534755505,,2.229771816,3.362828,14.77891213,71.80109,542.181737,183.1358258,315.6286895,0.560194547,2.256168036,1.999948934,0.222439386,0.045397023,0.127859231,0.000391449,0.0,0.007327893,mine,,,
Non-hyperemic,79,LAD,0.494,2.5,0.69,0.24,0.0,0.24,,,,,7.157022503,,0.654279226,,2.241343759,3.38028,,72.702594,529.12075,191.4719877,273.3357389,0.078762465,1.624677052,1.844848494,0.183619066,0.022770164,0.112028902,0.000496851,0.000541257,0.014772357,mine,,,
Non-hyperemic,80,LAD,0.618,0.9,0.79,0.24,0.0,0.24,,,,,7.550864252,,0.652374045,,2.23876723,3.376394,,72.621974,1206.01578,213.791421,139.6714286,9.067810785,2.791949396,0.219201944,0.174002516,0.108896453,0.076136857,0.000228845,0.0,0.030072966,mine,,,
Non-hyperemic,81,LAD,0.618,1.66,0.79,0.24,0.0,0.24,,,,,6.372913727,,1.086174182,,2.229768621,3.362823,,72.3069,960.441831,195.4836795,607.1107878,0.901674834,4.054002395,3.881930642,0.198955511,0.057997652,0.123455719,0.000544392,0.000144977,0.000294784,mine,,,
Non-hyperemic,82,LAD,0.618,2.0,0.79,0.24,0.0,0.24,,,,,6.207329362,,1.190741327,,2.239165701,3.376995,,72.869805,925.797219,192.9398286,664.7859391,0.701580762,0.89316955,3.369008542,0.191637325,0.023873221,0.126703371,0.000139195,0.0,0.001734462,mine,,,
Non-hyperemic,83,LAD,0.618,2.5,0.79,0.24,0.0,0.24,,,,,5.916585869,,1.348599452,,2.245067172,3.385896,,73.738332,852.979215,184.6207185,573.2919857,0.500653447,2.553765859,2.021859216,0.185828171,0.021351976,0.115115582,0.0003392,0.000462585,0.004091229,mine,,,
Hyperemic,1,LAD,0.453,1.2,0.68,0.24,0.0,0.24,0.782795739,3.292957311,4.206662287,1.0,1.829608493,4.360033056,0.507665975,1.461176566,6.834801517,11.063105,44.15254786,833.409859,2024.27804,1020.278409,834.9112971,6.081414577,1.662341546,5.800368903,,0.275192312,0.255296529,,0.0,0.0,mine,7.977153509018344,,0.782795739
Hyperemic,2,LAD,0.453,1.5,0.68,0.24,0.0,0.24,0.760538535,3.160269652,4.155305098,1.0,1.845525918,4.412918766,0.58107817,1.542722082,6.758107023,10.629883,41.88579453,745.969052,1900.432391,,,3.471682725,,,,,,,,,mine,8.144155956681578,,0.760538535
Hyperemic,3,LAD,0.453,1.7,0.68,0.24,0.0,0.24,0.745970665,2.652342117,3.555558201,1.0,1.785816658,4.523932556,0.608133588,1.52779175,6.790127793,8.919556,45.36924175,853.378861,2082.036108,,,1.139296282,,,,,,,,,mine,8.078914118173318,,0.745970665
Hyperemic,4,LAD,0.441,2.0,0.67,0.24,0.0,0.24,0.747936725,3.218754014,4.303511119,1.0,1.790297889,4.546714831,0.60335097,1.548837263,6.762165207,10.876202,42.88318484,781.208763,1783.614223,841.115741,1001.101171,0.274954231,1.661024745,7.17779982,0.906541545,0.230608509,0.209748562,0.0,0.0,0.0,mine,8.139973963824293,,0.747936725
Hyperemic,5,LAD,0.481,1.2,0.71,0.24,0.0,0.24,0.744042726,3.172624252,4.264035036,1.0,1.704661456,4.428578831,0.586418608,,6.70194192,10.671385,,554.574982,1365.681849,982.1901587,905.2586432,6.116579805,3.294623164,3.661837349,,0.276052965,0.25215725,0.0,0.0,0.000151037,mine,7.549227638063238,,0.744042726
Hyperemic,6,LAD,0.481,1.5,0.71,0.24,0.0,0.24,0.71822657,2.770826609,3.857872608,1.0,1.773689614,4.548208842,0.695850903,1.635899406,6.671608126,9.237415,40.47352857,818.044982,1967.172652,,,6.527799849,,,,,,,,,mine,8.067110785358368,,0.71822657
Hyperemic,7,LAD,0.481,1.7,0.71,0.24,0.0,0.24,0.707715955,2.982477208,4.21422915,1.0,1.745610644,4.47112129,0.720930673,1.648950521,6.520036149,10.051321,40.69089694,854.802792,1956.971145,,,1.005150111,,,,,,,,,mine,7.8048369144390115,,0.707715955
Hyperemic,8,LAD,0.481,2.0,0.71,0.24,0.0,0.24,0.696882978,2.970539045,4.262608124,1.0,1.605385816,4.645729926,0.698280461,1.605012897,6.467248103,9.958848,43.60851241,768.942716,1837.066068,,,0.29983334,,,,,,,,,mine,7.45818892816713,,0.696882978
Hyperemic,9,LAD,0.558,1.2,0.78,0.24,0.0,0.24,0.629637691,2.848459023,4.523965231,1.0,1.592238134,4.521434205,0.936578288,1.76744284,6.178156552,9.622707,40.23977336,675.230019,2536.069532,894.0199569,1114.227684,11.80404458,5.017626508,8.503777286,0.859844844,0.2744707,0.246112697,0.0,0.0,0.0,mine,7.199199961572974,,0.629637691
Hyperemic,10,LAD,0.558,1.5,0.78,0.24,0.0,0.24,0.603438553,2.115879885,3.506371734,1.0,1.616243971,4.650768173,1.062146336,1.849537602,4.644740483,7.042027,37.77470077,828.28908,2343.246802,723.0299951,1425.093652,6.554413139,0.95519676,7.991082505,0.879668812,0.243144655,0.211911703,0.000106674,0.000233443,0.0,mine,7.516776020129936,,0.603438553
Hyperemic,11,LAD,0.558,1.7,0.78,0.24,0.0,0.24,0.589783562,2.772221361,4.700404592,1.0,1.496766966,4.65272057,1.041057184,1.815138977,5.999472437,9.301468,40.07650941,694.570039,2346.957536,685.0532819,1616.874324,2.393969268,1.344380127,9.381607927,0.890405763,0.226796352,0.197120471,0.000206067,0.000446572,0.0,mine,6.96403845120469,,0.589783562
Hyperemic,12,LAD,0.558,2.0,0.78,0.24,0.0,0.24,0.577799121,2.587983409,4.479036599,1.0,1.417515596,4.804093749,1.035786157,1.80914073,5.969609989,8.709118,40.42812982,661.602462,2048.599702,,,1.325395874,,,,,,,,,mine,6.80987781385361,,0.577799121
Hyperemic,13,LAD,0.591,1.2,0.81,0.24,0.0,0.24,0.576869098,2.654303317,4.601222923,1.0,1.510185059,4.653188795,1.107713983,1.861830246,5.882034057,8.897737,38.29584638,,2642.526706,913.2225482,1168.741477,16.90358109,8.315521377,3.452354719,0.846077949,0.274595829,0.240395398,0.0,0.0,0.0,mine,7.0271761949152145,,0.576869098
Hyperemic,14,LAD,0.591,1.5,0.81,0.24,0.0,0.24,0.54514387,2.703783551,4.959761454,1.0,1.414443055,4.740660396,1.180180372,1.876226724,5.788441356,9.039884,39.47080128,682.219004,2592.773447,,,4.386170627,,,,,,,,,mine,6.705394173235749,,0.54514387
Hyperemic,15,LAD,0.591,1.7,0.81,0.24,0.0,0.24,0.526045053,2.793863752,5.311073142,1.0,1.451330108,4.725689004,1.307616297,1.910520502,5.668163379,9.272831,40.4123497,686.98256,2670.552745,,,0.825994444,,,,,,,,,mine,6.8585347325497334,,0.526045053
