Condition,Geometry Number,Location,Stenosis Percentage,Length,Width,R_scale,R_micro,R_total,P_d/P_a,CFR,CFR/FFR,discord,HMR,BMR/HMR,HSR,P_Loss_Coeff,Average Flow,Max Flow,v_distal,area,Q_distal,WSS_LMB,WSS_Bif,WSS_LE,WSS_TE,WSS_min,WSS_LE_min,WSS_TE_min,WSS_Area_Bifur,WSS_LE_Area,WSS_TE_Area,WSS_Area_Bifur_min,WSS_LE_Area_min,WSS_TE_Area_min,source
Hyperemic,46,LAD,0.59,1.2,0.63,0.62,0,0.62,0.83802784,1.563272461,1.865418291,2,3.972473457,1.768967439,0.767790849,1.903901727,3.151380379,5.240391,24.09325542,0.095,2.288859265,301.783643,1446.800495,471.7756519,552.5574214,6.921315176,0.326305779,2.671673424,0.439854427,0.189431158,0.148597372,0.001170181,0.0023423,0.00029183,mine
Hyperemic,40,LAD,0,0.1,0.251,0.62,0,0.62,0.986495549,1.788928187,1.813417392,2,4.247876024,1.757289563,0.058150523,0.740015632,3.429377322,5.986192,26.61290419,0.095,2.528225898,358.635663,732.675363,371.0658622,371.0658622,,7.043540166,1.795913076,0.292548941,0.088418921,0.082535565,5.21E-05,0,0.000128094,mine
Hyperemic,32,LAD,0.45,2.5,0.68,0.62,0,0.62,0.89239046,1.654142093,1.853607998,2,4.650418109,1.6901533,0.560773985,1.803832517,3.27396046,5.556566,22.15693181,0.095,2.104908522,295.008377,780.2767,378.6503972,395.5863341,0.504660288,4.26662749,2.117969214,0.487318798,0.091146573,0.146186286,0,0,0.007950747,mine
Hyperemic,43,LAD,0.45,1.2,0.63,0.62,0,0.62,0.93058543,1.67347467,1.7983031,2,4.69820211,1.69791621,0.35045001,1.58902493,3.34551825,5.622249,22.7067734,0.095,2.157143473,376.75685,879.953135,428.06515,318.270808,1.55392388,3.47472858,0.82217601,0.47840847,0.1802907,0.12497907,0.00012309,8.16E-05,0.00102128,mine
Hyperemic,36,LAD,0.59,2.5,0.78,0.81,0,0.81,0.814386017,1.122689761,1.378572002,2,5.181668623,1.255747833,1.181000327,2.209576706,2.424657839,3.777631,18.33274896,0.095,1.741611151,187.553552,874.125894,215.2949628,566.7719913,0.440666205,4.471410252,1.459615658,0.254525137,0.059022813,0.128803005,0.000316264,0,0.006148238,mine
Hyperemic,47,LAD,0.59,1.2,0.63,0.81,0,0.81,0.884487256,1.20645291,1.364013898,2,5.288602874,1.328739624,0.690683813,1.952685118,2.527047931,4.044263,19.37083937,0.095,1.84022974,218.421619,1108.984903,351.8535791,393.3311416,5.882394093,0.494837712,3.780897329,0.271407946,0.133467847,0.098850178,0.00266598,0.004257938,0.00029183,mine
Hyperemic,41,LAD,0,0.1,0.251,0.81,0,0.81,0.989914157,1.334209241,1.34780297,2,5.521875104,1.351850243,0.056260199,0.830353168,2.68484431,4.464591,20.91232771,0.095,1.986671132,249.423284,514.053816,266.3086568,266.3086568,,6.753689152,0.8374723,0.110427048,0.071852514,0.053683667,0.000396554,0,0.000703788,mine
Hyperemic,57,LCX,0.6,0.9,0.57,0.81,0,0.81,0.871184874,1.184033324,1.359106843,2,5.710697873,1.264840339,0.844395131,2.088585326,2.578639391,4.021568,17.31867547,0.095,1.64527417,670.195732,1426.242068,294.6259353,667.8932333,9.170895035,8.226743598,0.011393714,0.16890148,0.039919634,0.12585423,0.023433968,0,0.121483366,mine
Hyperemic,44,LAD,0.45,1.2,0.63,0.81,0,0.81,0.95218457,1.28204925,1.34642935,2,6.22899628,1.2806483,0.31279873,1.6442847,2.64187183,4.307206,17.8457399,0.095,1.695345291,265.821498,644.577906,315.580959,219.208238,1.17097914,4.9348762,1.66820069,0.29871774,0.12847612,0.08438457,0.00066179,0,0.00251789,mine
Hyperemic,33,LAD,0.45,2.5,0.68,0.81,0,0.81,0.924239662,1.231007956,1.331914229,2,6.243739234,1.258848139,0.511802095,1.871975308,2.599016575,4.135181,17.28546356,0.095,1.642119038,209.035986,571.315399,275.2650262,266.9543567,0.27694361,4.29348512,1.747718444,0.292128464,0.069904053,0.130199471,0.00036841,0,0.017344086,mine
Non-hyperemic,26,LAD,0.59,2.5,0.78,0.24,0,0.24,0.849784532,,,,6.506869145,,1.150212029,2.237050773,2.231082184,3.364804,16.76028551,0.095,1.592227123,73.584895,779.126378,176.8061617,490.2939095,0.402930656,5.127062708,1.396786086,0.229684946,0.048071808,0.123223979,0.000538601,0,0.008335279,mine
Hyperemic,53,LCX,0.3,0.9,0.61,0.81,0,0.81,0.9845733,1.32500463,1.345765348,2,7.010223977,1.23530641,0.109839076,1.235543064,2.682877897,4.45746,16.06083369,0.095,1.525779201,260.938233,643.138253,327.4876462,78.10411912,0.494207227,5.905872241,0.283072996,0.190958772,0.042847529,0.00846193,0.018778421,0,0.084014607,mine
Non-hyperemic,13,LAD,0.59,1.2,0.81,0.24,0,0.24,0.900848952,,,,7.027176196,,0.773439191,2.091964244,2.222720379,3.352193,15.74041616,0.095,1.495339535,72.690392,962.312151,338.2888943,339.0632085,2.901735294,0.41539289,2.250041501,0.205882151,0.101197326,0.086522796,0.004540238,0.006812163,0.003947194,mine
Non-hyperemic,50,LCX,0.6,0.9,0.57,0.24,0,0.24,0.900407706,,,,7.223121032,,0.798934962,2.129278159,2.252098241,3.396499,14.92064328,0.095,1.417461112,545.600706,1205.501572,221.0773475,544.1888339,7.660404585,3.212417762,0.412724532,0.147530565,0.031475742,0.118833509,0.023547944,0,0.122726622,mine
Hyperemic,59,LCX,0.6,3,0.76,0.81,0,0.81,0.89445266,1.211995277,1.355013331,2,7.435574062,1.267146076,0.877413756,2.20030183,2.598934057,4.065986,13.91415665,0.095,1.321844882,240.665168,562.77639,265.0428276,182.5197886,0.11829174,5.948608702,0.288668435,0.206599152,0.037290765,0.057739542,0.000346291,0,0.008393075,mine
Non-hyperemic,37,LAD,0,0.1,0.251,0.24,0,0.24,0.99304129,,,,7.4647482,,0.052309022,0.845820089,2.156673741,3.346245,18.76336789,0.095,1.78251995,83.699386,411.703468,,,,,,,,,,,,mine
Non-hyperemic,18,LAD,0.45,2.5,0.68,0.24,0,0.24,0.942956412,,,,7.859919513,,0.475481158,1.917389663,2.227354782,3.359183,14.4643169,0.095,1.374110106,72.122823,446.084813,206.188497,203.5953779,0.161950076,1.933647702,1.471505898,0.232543852,0.041728797,0.114279139,0.001099694,0,0.034724326,mine
Non-hyperemic,1,LAD,0.45,1.2,0.68,0.24,0,0.24,0.964778111,,,,7.977153506,,0.291228013,1.707943479,2.227648701,3.359626,14.3497372,0.095,1.363225034,73.296575,502.177701,216.2790132,155.2828522,0.938689647,4.909217475,0.393844593,0.213106964,0.077985447,0.055963395,0.001779327,0,0.006345886,mine
Hyperemic,55,LCX,0.3,3,0.9,0.81,0,0.81,0.964690223,1.293969712,1.34133184,2,8.079212891,1.234503673,0.295716902,1.736052501,2.678678724,4.363152,13.65771127,0.095,1.297482571,267.775446,534.485786,270.9768647,61.44473693,0.379101071,3.989964346,6.289354415,0.195403341,0.042533224,0,0.000587942,0,0,mine
Non-hyperemic,48,LCX,0.3,0.9,0.61,0.24,0,0.24,0.988900287,,,,8.659774615,,0.097199903,1.269181612,2.230621333,3.364109,13.15341434,0.095,1.249574362,82.268671,442.209096,224.7735733,51.99510656,0.214855708,6.147477707,0.175428503,0.129793305,0.027076142,0,0.024261562,0,0.087953811,mine
Non-hyperemic,51,LCX,0.6,3,0.76,0.24,0,0.24,0.917344845,,,,9.421958494,,0.848942952,2.260460888,2.224440172,3.354787,11.72119522,0.095,1.113513546,200.987644,447.142565,197.6419258,135.3643342,0.097713442,8.026376076,0.268712945,0.157146669,0.020166348,0.046331289,0.00098745,0,0.014203652,mine
Non-hyperemic,49,LCX,0.3,3,0.9,0.24,0,0.24,0.97316819,,,,9.973817986,,0.274994182,1.787561838,2.235795276,3.371912,11.28017785,0.095,1.071616896,75.109263,372.074982,186.6719896,43.87251004,1.07383467,3.235495889,7.396480676,0.093976685,0.022234512,0,0.001077717,0,0,mine
