Condition,Geometry Number,Stenosis Percentage,Length,Width,Average Flow,Max Flow,v_distal,P_d/P_a,HMR,HSR,P_Loss_Coeff,WSS_TE,WSS_LE,WSS_TE_Area,WSS_LE_Area,R_scale,R_micro,R_total,Location,CFR,BMR/HMR,CFR/FFR,WSS_Area_Bifur,WSS_Bif,WSS_LMB,WSS_min,WSS_TE_min,WSS_LE_min,WSS_TE_Area_min,WSS_LE_Area_min,WSS_Area_Bifur_min,discord,source,Location_num
Hyperemic,3,0.452859086,1.7,0.68,6.790127793,8.919556,45.36924175,0.745970665,1.785816658,0.608133588,1.52779175,1003.334424,837.4774532,0.220688543,0.246899562,0.24,0,0.24,LAD,2.652342117,4.523932556,3.555558201,0.905665956,2082.036108,853.378861,1.139296282,4.960577681,2.012933857,3.02E-05,0,0,1,mine,0
Hyperemic,4,0.440793595,2,0.67,6.762165207,10.876202,42.88318484,0.747936725,1.790297889,0.60335097,1.548837263,1001.101171,841.115741,0.209748562,0.230608509,0.24,0,0.24,LAD,3.218754014,4.546714831,4.303511119,0.906541545,1783.614223,781.208763,0.274954231,7.17779982,1.661024745,0,0,0,1,mine,0
Hyperemic,105,0.618260863,1.66,0.79,5.636134655,8.970219,36.82002712,0.485432042,1.302850696,1.381048557,1.974679124,1837.381556,546.8623969,0.185328316,0.257081643,0.24,0,0.24,LAD,2.667466887,4.891515003,5.495036698,0.869473135,2565.304714,635.728847,2.146444544,4.240137628,1.166279123,0,0,0,1,mine,0
Hyperemic,102,0.482932816,2,0.69,6.343399793,10.37623,41.3872587,0.660257884,1.552728815,0.798971715,1.686219023,1349.616545,627.5281644,0.194438056,0.235962933,0.24,0,0.24,LAD,3.085566672,4.727773837,4.673275016,0.906577278,2016.964564,738.104042,0.635424601,6.304345123,4.108480374,0,0,0,1,mine,0
Hyperemic,5,0.481312284,1.2,0.71,6.70194192,10.671385,41.48026163,0.744042726,1.704661456,0.586418608,1.651063651,905.2586432,982.1901587,0.25215725,0.276052965,0.24,0,0.24,LAD,3.172624252,4.428578831,4.264035036,0.897574554,1365.681849,554.574982,6.116579805,3.661837349,3.294623164,0.000151037,0,0,1,mine,0
Hyperemic,2,0.452859086,1.5,0.68,6.758107023,10.629883,41.88579453,0.760538535,1.845525918,0.58107817,1.542722082,935.1531667,874.0967853,0.221344662,0.245154281,0.24,0,0.24,LAD,3.160269652,4.412918766,4.155305098,0.905708993,1900.432391,745.969052,3.471682725,4.541060339,2.039584339,3.62E-05,0,0,1,mine,0
Hyperemic,16,0.590858852,2,0.81,5.723283207,7.86791,40.61337659,0.51708239,1.262512114,1.17909514,1.863434031,1441.036296,695.2851592,0.171734483,0.205420646,0.24,0,0.24,LAD,2.356638906,4.948767185,4.557569456,0.851629135,2169.667977,581.733328,0.734119248,2.154279632,8.225466061,0.013146177,0.000155547,0.003116379,1,mine,0
Hyperemic,29,0.574482265,3,0.67,5.710921897,8.978154,39.22059128,0.521871953,3.606603613,0.690473231,1.739357698,1059.146014,555.8838788,0.150224341,0.165870629,0.24,0,0.24,LAD,2.203598583,2.417990662,2.523841889,0.87493965,1830.526006,641.741912,8.40754886,0.868700168,3.858521911,0.000238684,0,0,,mine,0
Hyperemic,11,0.55839994,1.7,0.78,5.999472437,9.301468,40.07650941,0.589783562,1.496766966,1.041057184,1.815138977,1616.874324,685.0532819,0.197120471,0.226796352,0.24,0,0.24,LAD,2.772221361,4.989529404,4.700404592,0.890405763,2346.957536,694.570039,2.393969268,9.381607927,1.344380127,0,0.000446572,0.000206067,1,mine,0
Hyperemic,27,0.440793595,3,0.67,6.518807241,10.476556,41.53906933,0.690827368,1.714282633,0.767209433,1.667011452,931.1602991,689.422165,0.168832423,0.197018057,0.24,0,0.24,LAD,3.078898938,4.501449948,4.168800202,0.906039139,1641.570559,807.217486,2.250323696,1.104717944,1.566998383,0,0,0,,mine,0
Hyperemic,18,0.452859086,2.5,0.68,6.511574356,10.717489,44.32141733,0.698815174,1.71049844,0.737213779,1.621534084,955.2015407,844.8604607,0.214554288,0.239146675,0.24,0,0.24,LAD,3.190504655,4.595104754,4.565591554,0.904306037,1876.517458,769.259048,0.249105435,4.289198627,2.115032898,4.35E-05,0,0,1,mine,0
Hyperemic,87,0.111733198,2.5,0.58,7.489532218,12.616206,44.02522207,0.919080649,2.054549106,0.180890306,1.014268018,228.7479914,905.6923312,0.300275006,0.259883873,0.24,0,0.24,LAD,3.754014314,3.839395805,4.08453199,0.77988768,1941.872063,1040.859337,1.55194948,67.94763266,1.55194948,0,0,0,0,mine,0
Hyperemic,45,0.588518179,1.2,0.63,4.163569989,6.954037,31.13517692,0.75687112,2.675958768,0.859595302,1.841596975,800.2244054,643.1548609,0.191061902,0.236326601,0.43,0,0.43,LAD,2.074473934,2.626040536,2.740854922,0.641197089,1938.923303,438.439425,14.09999587,3.324824977,2.93199149,0,0,0,1,mine,0
Hyperemic,89,0.204844196,1.66,0.58,7.466100356,12.452738,39.70169225,0.932418819,2.299125842,0.166639321,1.023522749,245.4314955,918.1260623,0.238011048,0.272839522,0.24,0,0.24,LAD,3.709513898,3.775228065,3.978377336,0.890033862,1932.360311,947.215095,4.362939739,34.17916655,4.362939739,0,0,4.17E-05,0,mine,0
Hyperemic,42,0.452537445,1.2,0.63,4.533894816,7.645781,30.38685263,0.887854602,3.208640971,0.405285188,1.525629292,486.5854532,617.0461793,0.18818282,0.232438851,0.43,0,0.43,LAD,2.275783376,2.486147119,2.563238813,0.67103077,1276.523595,572.029588,3.39641942,1.634631055,0.736884346,0.000591522,0.000130823,5.77E-05,0,mine,0
Hyperemic,26,0.58834017,2.5,0.78,5.521073759,8.554116,37.41491947,0.483869963,1.315848432,1.403577309,1.974745804,1382.06823,498.4516702,0.154369602,0.167622329,0.24,0,0.24,LAD,2.542233069,4.944998975,5.253959255,0.854260056,2574.834384,555.281961,0.810531592,0.964112148,4.398622813,0.003152871,0,0,1,mine,0
Hyperemic,10,0.55839994,1.5,0.78,4.644740483,7.042027,37.77470077,0.603438553,1.616243971,1.062146336,1.849537602,1425.093652,723.0299951,0.211911703,0.243144655,0.24,0,0.24,LAD,2.115879885,4.650768173,3.506371734,0.879668812,2343.246802,828.28908,6.554413139,7.991082505,0.95519676,0,0.000233443,0.000106674,1,mine,0
Hyperemic,28,0.479182199,3,0.67,6.269492517,10.018652,42.21528863,0.63411731,1.545034365,0.891477526,1.725194916,1087.71143,702.9437029,0.161637911,0.188924191,0.24,0,0.24,LAD,3.009197386,4.596475524,4.359476637,0.89644805,1719.913802,776.568645,0.619988232,1.840773885,2.946887861,0.000124778,0,0,,mine,0
Hyperemic,88,0.197188781,0.9,0.43,7.529893552,12.589395,39.77078412,0.955572398,2.357370082,0.109601637,0.840807166,311.513115,852.1112578,0.230386492,0.27031677,0.24,0,0.24,LAD,3.709949626,3.719529469,3.88243699,0.881590549,1891.538202,1044.787504,84.72044972,22.73902414,9.10442707,0.001759732,0,5.01E-05,0,mine,0
Hyperemic,43,0.452537445,1.2,0.63,3.345518253,5.622249,22.70677339,0.930585431,4.698202113,0.35045001,1.589024931,318.2708078,428.0651503,0.124979074,0.1802907,0.62,0,0.62,LAD,1.673474667,1.697916206,1.798303101,0.47840847,879.953135,376.75685,1.553923875,0.822176006,3.474728578,0.001021279,8.16E-05,0.000123093,2,mine,0
Hyperemic,44,0.452537445,1.2,0.63,2.641871828,4.307206,17.84573992,0.952184572,6.228996279,0.312798728,1.644284699,219.2082376,315.5809589,0.084384567,0.128476123,0.81,0,0.81,LAD,1.282049252,1.280648302,1.346429347,0.298717741,644.577906,265.821498,1.170979142,1.668200689,4.934876195,0.002517894,0,0.000661786,2,mine,0
Hyperemic,86,0.111377031,2,0.43,7.493182552,12.631045,42.4966948,0.937620958,2.170643458,0.144410871,0.931799014,212.6642977,979.6508653,0.313194197,0.231332998,0.24,0,0.24,LAD,3.78191645,3.756206726,4.0335238,0.924852969,2003.333109,949.370312,4.646975944,65.27433742,4.646975944,0,0,0,0,mine,0
Hyperemic,31,0.452859086,2.5,0.68,4.39696892,7.559204,29.51851328,0.833068698,3.131865822,0.627567017,1.72811991,605.2747147,522.8618905,0.160222875,0.12361164,0.43,0,0.43,LAD,2.250310269,2.509660362,2.70123013,0.688282732,1102.881711,438.844546,0.210472919,1.963705688,1.826057334,0.003498645,0,0,0,mine,0
Hyperemic,36,0.58834017,2.5,0.78,2.424657839,3.777631,18.33274896,0.814386017,5.181668623,1.181000327,2.209576706,566.7719913,215.2949628,0.128803005,0.059022813,0.81,0,0.81,LAD,1.122689761,1.255747833,1.378572002,0.254525137,874.125894,187.553552,0.440666205,1.459615658,4.471410252,0.006148238,0,0.000316264,2,mine,0
Hyperemic,38,1.22E-15,0.1,0.251,7.461479057,12.545064,54.9856299,0.964578422,1.800845216,0.066131252,0.480711818,936.3744589,936.3744589,0.246738978,0.253257595,0.24,0,0.24,LAD,3.748997458,1.014896035,3.886669421,0.903215595,1929.592179,1010.994858,24.51419095,4.36929602,25.64289425,0,0,0,0,mine,0
Hyperemic,53,0.302549531,0.9,0.61,2.682877897,4.45746,16.06083369,0.9845733,7.010223977,0.109839076,1.235543064,78.10411912,327.4876462,0.00846193,0.042847529,0.81,0,0.81,LCX,1.32500463,1.23530641,1.345765348,0.190958772,643.138253,260.938233,0.494207227,0.283072996,5.905872241,0.084014607,0,0.018778421,2,mine,1
