HMR,P_Loss_Coeff,FFR,CFR,BMR/HMR,CFR/FFR,BMR
0.654320988,0.486771959,0.868852459,1.528301887,1.758988964,1.758988964,1.150943397
0.76,0.002712001,0.95,3.225806452,3.353140917,3.395585739,2.548387097
0.763636364,1.521986622,0.512195122,2.5,4.345238095,4.88095238,3.31818182
0.769230769,0.843706586,0.727272727,2.476190476,3.311904762,3.404761906,2.547619047
0.853658537,0.970964313,0.736842105,3.416666667,4.783333333,4.636904764,4.083333335
0.854545455,1.411288324,0.602564103,1.375,1.960106383,2.281914892,1.675000001
0.890625,1.168503303,0.703703704,3.2,4.715789474,4.547368419,4.2
0.91954023,0.521613504,0.888888889,2.806451613,3.33266129,3.157258064,3.064516129
0.924731183,0.825413948,0.788990826,2.447368421,2.845777234,3.101897184,2.631578948
0.942028986,0.927073811,0.802469136,2.15625,2.687019231,2.68701923,2.531250002
0.955555556,1.717476272,0.505882353,1.285714286,1.88372093,2.541528239,1.800000001
0.963636364,1.592024488,0.53,1.018518519,1.191474493,1.921733055,1.148148148
0.967741935,1.071141136,0.769230769,1.9375,2.260416667,2.518750001,2.187499999
0.984848485,1.040317739,0.773809524,2.129032258,2.55483871,2.751364764,2.516129033
0.989010989,-0.216400779,0.97826087,3.5,3.616666667,3.577777776,3.576923077
1,0.729710729,0.862068966,2.027027027,2.675675676,2.35135135,2.675675676
1,0.606662178,0.904109589,4.4,5.066666667,4.866666667,5.066666667
1.03030303,1.976407986,0.453333333,1.064516129,1.565464896,2.348197345,1.612903226
1.032786885,1.321354033,0.670212766,1.605263158,2.038429407,2.395154553,2.105263158
1.044776119,1.0495324,0.777777778,2.481481481,2.977777778,3.190476189,3.11111111
1.069444444,0.727379702,0.875,2.25,2.62987013,2.571428571,2.812499999
1.070422535,1.16053331,0.723809524,2.62962963,3.460038986,3.633040935,3.703703703
1.073529412,1.115845426,0.75257732,3.777777778,5.01978691,5.019786908,5.38888889
1.076923077,1.047826568,0.823529412,2.6,3.296428571,3.157142856,3.55
1.098591549,0.476286562,0.928571429,2.679245283,3.366231253,2.885341073,3.698113207
1.102564103,1.974397651,0.43,1.344827586,1.876503609,3.127506014,2.068965518
1.15942029,0.869081864,0.85106383,3,3.4875,3.524999999,4.043478261
1.192307692,1.64074318,0.568807339,1.368421053,1.986417657,2.405772498,2.368421052
1.194444444,1.832115052,0.551282051,3,4.88372093,5.441860468,5.833333331
1.207792208,0.472768599,0.93,2.483870968,3.124869927,2.670828998,3.774193549
1.23880597,0.593600444,0.922222222,3.19047619,3.459552496,3.459552496,4.285714286
1.25,1.515290789,0.666666667,2.666666667,3.288888889,3.999999999,4.111111111
1.25,0.742534571,0.898876404,2.285714286,2.428571429,2.542857145,3.035714286
1.261904762,1.722355153,0.588888889,1.68,2.757735849,2.852830188,3.48
1.275862069,1.129068527,0.804347826,2.761904762,3.284427284,3.433719434,4.19047619
1.288135593,1.159977982,0.791666667,3.470588235,4.064241486,4.383900927,5.235294117
1.288888889,1.474438224,0.707317073,3.214285714,4.322660099,4.544334976,5.571428573
1.303030303,0.99201306,0.834951456,2.538461538,3.040250447,3.040250448,3.961538461
1.309090909,1.242145925,0.774193548,2.5,3.090277778,3.229166668,4.045454545
1.31147541,1.17241502,0.784313725,1.967741935,2.435080645,2.508870969,3.193548387
1.314814815,1.492166991,0.663551402,1.542857143,2.129577465,2.325150905,2.800000001
