GeometryNumber,ColumnName,ImputedValue,NeighborGeometryNumbers
27,CFR,3.3330081990603944,"[np.float64(102.0), np.float64(85.0), np.float64(95.0), np.float64(2.0), np.float64(101.0)]"
27,BMR/HMR,4.319438811024011,"[np.float64(102.0), np.float64(85.0), np.float64(95.0), np.float64(2.0), np.float64(101.0)]"
27,CFR/FFR,4.3078978578658065,"[np.float64(102.0), np.float64(85.0), np.float64(95.0), np.float64(2.0), np.float64(101.0)]"
27,WSS_min,3.6408604866071927,"[np.float64(102.0), np.float64(85.0), np.float64(95.0), np.float64(2.0), np.float64(101.0)]"
18,WSS_TE,626.8346533631295,"[np.float64(1.0), np.float64(87.0), np.float64(3.0), np.float64(4.0), np.float64(91.0)]"
18,WSS_LE,910.9975673321882,"[np.float64(1.0), np.float64(87.0), np.float64(3.0), np.float64(4.0), np.float64(91.0)]"
18,WSS_TE_Area,0.24597254807219127,"[np.float64(1.0), np.float64(87.0), np.float64(3.0), np.float64(4.0), np.float64(91.0)]"
18,WSS_LE_Area,0.25586163519713445,"[np.float64(1.0), np.float64(87.0), np.float64(3.0), np.float64(4.0), np.float64(91.0)]"
18,WSS_Area_Bifur,0.9064763684273549,"[np.float64(3.0), np.float64(4.0), np.float64(56.0), np.float64(86.0), np.float64(52.0)]"
18,WSS_TE_min,30.988202475054635,"[np.float64(1.0), np.float64(87.0), np.float64(3.0), np.float64(4.0), np.float64(91.0)]"
18,WSS_LE_min,4.06695177289677,"[np.float64(1.0), np.float64(87.0), np.float64(3.0), np.float64(4.0), np.float64(91.0)]"
18,WSS_TE_Area_min,0.002457883630955612,"[np.float64(1.0), np.float64(87.0), np.float64(3.0), np.float64(4.0), np.float64(91.0)]"
18,WSS_LE_Area_min,0.0,"[np.float64(1.0), np.float64(87.0), np.float64(3.0), np.float64(4.0), np.float64(91.0)]"
18,WSS_Area_Bifur_min,0.003666468309063216,"[np.float64(87.0), np.float64(3.0), np.float64(4.0), np.float64(91.0), np.float64(56.0)]"
87,WSS_Area_Bifur,0.9096844886426748,"[np.float64(18.0), np.float64(4.0), np.float64(3.0), np.float64(56.0), np.float64(86.0)]"
89,WSS_Area_Bifur,0.8791533287281798,"[np.float64(94.0), np.float64(11.0), np.float64(29.0), np.float64(9.0), np.float64(92.0)]"
