Condition,Geometry Number,Stenosis Percentage,Length,Width,Average Flow,Max Flow,v_distal,P_d/P_a,HMR,HSR,P_Loss_Coeff,WSS_TE,WSS_LE,WSS_TE_Area,WSS_LE_Area,R_scale,R_micro,R_total,Location,CFR,BMR/HMR,CFR/FFR,WSS_Area_Bifur,WSS_Bif,WSS_LMB,WSS_min,WSS_TE_min,WSS_LE_min,WSS_TE_Area_min,WSS_LE_Area_min,WSS_Area_Bifur_min,discord,source,Location_num
Hyperemic,405,,,,,,,0.777777778,4.375,,2.117350781,,,,,,,,,2.4,3.017142857,3.085714285,,,,,,,,,,1,garcia,0
Hyperemic,404,,,,,,,0.6,4.285714286,,2.710455929,,,,,,,,,1.272727273,1.633333333,2.121212122,,,,,,,,,,0,garcia,0
Hyperemic,403,,,,,,,0.912621359,4.272727273,,1.670049157,,,,,,,,,2.365591398,2.566918325,2.592084192,,,,,,,,,,0,garcia,0
Hyperemic,40,1.22E-15,0.1,0.251,3.429377322,5.986192,26.61290419,0.986495549,4.247876024,0.058150523,0.740015632,371.0658622,371.0658622,0.082535565,0.088418921,0.62,0,0.62,LAD,1.788928187,0.430255181,1.813417392,0.292548941,732.675363,358.635663,,1.795913076,7.043540166,0.000128094,0,5.21E-05,1,mine,0
Hyperemic,402,,,,,,,0.809090909,4.238095238,,2.078432715,,,,,,,,,2.1,2.666292135,2.595505618,,,,,,,,,,0,garcia,0
Hyperemic,109,1.22E-15,0.1,0.251,3.433080713,6.187513,23.261153,0.986463935,4.237119801,0.058140929,0.798405008,309.2447946,309.2447946,0.06512601,0.07898146,0.24,0.38,0.62,LAD,1.849091444,0.431347414,1.874464315,0.211533759,604.115309,294.853569,,2.04002935,7.440433689,0.000657815,0,0.000377859,1,mine,0
Hyperemic,401,,,,,,,0.888888889,4.235294118,,1.893996676,,,,,,,,,3.953488372,4.228036176,4.447674418,,,,,,,,,,0,garcia,0
Hyperemic,400,,,,,,,0.79,4.157894737,,2.165364102,,,,,,,,,1.727272727,1.945914845,2.186421173,,,,,,,,,,0,garcia,0
Hyperemic,399,,,,,,,0.707317073,4.142857143,,2.48860718,,,,,,,,,1.166666667,1.367816092,1.649425288,,,,,,,,,,0,garcia,0
Hyperemic,398,,,,,,,0.822222222,4.111111111,,2.094226982,,,,,,,,,3,3.445945946,3.64864865,,,,,,,,,,0,garcia,0
